,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8550000190734863,0.9283760190010071,392.0,304.0,0.352364328900973,0.8685120940208435,0.8366666436195374,2096.0,2008.0,0.7400896549224854,0.3658810555934906,1093.0,1110.0,0.6844410822604162,0.002695417730137706,0.0027372261974960566,6270.0,3.0
1,0.8849999904632568,0.955456554889679,295.0,257.0,0.29310467998186746,0.8911939263343811,0.8770833611488342,2143.0,2105.0,0.7213308215141296,0.35996925830841064,1084.0,1278.0,0.7303875333411112,0.009302325546741486,0.010948904789984226,6102.0,12.0
2,0.9108333587646484,0.9702755808830261,208.0,220.0,0.25312792857488,0.9087893962860107,0.9133333563804626,2180.0,2192.0,0.7301793098449707,0.3827062249183655,1082.0,1205.0,0.7359373333207725,0.011484823189675808,0.012773722410202026,6175.0,14.0
3,0.9150000214576721,0.9730590581893921,196.0,212.0,0.24191215217113496,0.9122516512870789,0.9183333516120911,2188.0,2204.0,0.7206229567527771,0.3799495995044708,1063.0,1305.0,0.7754185826022313,0.02466367743909359,0.03010948933660984,6075.0,33.0
4,0.9197916388511658,0.9770610928535461,183.0,202.0,0.22766661494970322,0.9164944291114807,0.9237499833106995,2198.0,2217.0,0.6501887440681458,0.3715389370918274,1016.0,1949.0,0.8268642692478156,0.039428289979696274,0.07299269735813141,5431.0,80.0
5,0.9293749928474426,0.9800136089324951,170.0,169.0,0.21512587904930114,0.9295539855957031,0.9291666746139526,2231.0,2230.0,0.7455167770385742,0.3810998499393463,1069.0,1088.0,0.735568444112271,0.024215247482061386,0.024635037407279015,6292.0,27.0
