,accuracy,auc,false_negatives,false_positives,loss,precision,recall,subject_52_accuracy,subject_52_auc,subject_52_false_negatives,subject_52_false_positives,subject_52_loss,subject_52_precision,subject_52_recall,subject_52_true_negatives,subject_52_true_positives,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9156249761581421,0.9665442109107971,207.0,198.0,0.24681151633461315,0.9171894788742065,0.9137499928474426,0.7227563858032227,0.9346793293952942,16.0,503.0,0.5814142838502542,0.2548148036003113,0.914893627166748,1181.0,172.0,2202.0,2193.0,0.7227563858032227,0.9346793293952942,16.0,503.0,0.5814142894541097,0.2548148036003113,0.914893627166748,1181.0,172.0
1,0.9270833134651184,0.9735225439071655,170.0,180.0,0.22419228081901868,0.9253112077713013,0.9291666746139526,0.6287392973899841,0.9311479330062866,11.0,684.0,0.7280778472240155,0.2055749148130417,0.9414893388748169,1000.0,177.0,2220.0,2230.0,0.6287392973899841,0.9311479330062866,11.0,684.0,0.7280778411107186,0.2055749148130417,0.9414893388748169,1000.0,177.0
2,0.9304166436195374,0.9768092632293701,162.0,172.0,0.213222018579642,0.9286307096481323,0.9325000047683716,0.3344016969203949,0.93954998254776,6.0,1240.0,1.1550721286708474,0.12798874080181122,0.9680851101875305,444.0,182.0,2228.0,2238.0,0.3344016969203949,0.93954998254776,6.0,1240.0,1.1550721337652614,0.12798874080181122,0.9680851101875305,444.0,182.0
3,0.9300000071525574,0.9786635041236877,157.0,179.0,0.20686754723389944,0.926094114780426,0.934583306312561,0.44497862458229065,0.9379106163978577,6.0,1033.0,1.0141655792537918,0.14979423582553864,0.9680851101875305,651.0,182.0,2221.0,2243.0,0.44497862458229065,0.9379106163978577,6.0,1033.0,1.014165586895413,0.14979423582553864,0.9680851101875305,651.0,182.0
4,0.9337499737739563,0.9795188903808594,156.0,162.0,0.20287035952011745,0.9326683282852173,0.9350000023841858,0.43803417682647705,0.9393335580825806,6.0,1046.0,1.0371913930289767,0.14820846915245056,0.9680851101875305,638.0,182.0,2238.0,2244.0,0.43803417682647705,0.9393335580825806,6.0,1046.0,1.0371914011800392,0.14820846915245056,0.9680851101875305,638.0,182.0
5,0.9368749856948853,0.9821462631225586,132.0,171.0,0.19154236654440562,0.9298893213272095,0.9449999928474426,0.7489316463470459,0.9367055892944336,14.0,456.0,0.5156675559333247,0.27619048953056335,0.9255319237709045,1228.0,174.0,2229.0,2268.0,0.7489316463470459,0.9367055892944336,14.0,456.0,0.5156675612824595,0.27619048953056335,0.9255319237709045,1228.0,174.0
6,0.9454166889190674,0.9838793277740479,128.0,134.0,0.1836426727473736,0.9443058967590332,0.9466666579246521,0.1992521435022354,0.9313533306121826,3.0,1496.0,1.6281396843429305,0.11005353927612305,0.9840425252914429,188.0,185.0,2266.0,2272.0,0.1992521435022354,0.9313533306121826,3.0,1496.0,1.6281396772107508,0.11005353927612305,0.9840425252914429,188.0,185.0
7,0.9454166889190674,0.9845313429832458,125.0,137.0,0.1804289033015569,0.9432006478309631,0.9479166865348816,0.7067307829856873,0.9373530745506287,14.0,535.0,0.5768699309764764,0.2454160749912262,0.9255319237709045,1149.0,174.0,2263.0,2275.0,0.7067307829856873,0.9373530745506287,14.0,535.0,0.5768699353067284,0.2454160749912262,0.9255319237709045,1149.0,174.0
8,0.9456250071525574,0.9865166544914246,121.0,140.0,0.17062234650055566,0.9421248435974121,0.9495833516120911,0.6607906222343445,0.931846022605896,11.0,624.0,0.664316967002347,0.22097378969192505,0.9414893388748169,1060.0,177.0,2260.0,2279.0,0.6607906222343445,0.931846022605896,11.0,624.0,0.6643169746439681,0.22097378969192505,0.9414893388748169,1060.0,177.0
9,0.9527083039283752,0.9878653287887573,105.0,122.0,0.16469378113746644,0.9495242238044739,0.956250011920929,0.5165598392486572,0.9369945526123047,6.0,899.0,0.9448480937216017,0.16836263239383698,0.9680851101875305,785.0,182.0,2278.0,2295.0,0.5165598392486572,0.9369945526123047,6.0,899.0,0.9448480906649532,0.16836263239383698,0.9680851101875305,785.0,182.0
10,0.9516666531562805,0.988273024559021,112.0,120.0,0.16151266053318977,0.9501661062240601,0.95333331823349,0.6447649598121643,0.9296886920928955,11.0,654.0,0.6937665913858985,0.21299639344215393,0.9414893388748169,1030.0,177.0,2280.0,2288.0,0.6447649598121643,0.9296886920928955,11.0,654.0,0.69376658832925,0.21299639344215393,0.9414893388748169,1030.0,177.0
