,FN,FP,TN,TP,accuracy,loss,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_loss,Session
0,18.950000762939453,0.15000000596046448,5.349999904632568,7.349999904632568,0.40055030584335327,5.933225373801945,17.866666793823242,0.0,14.133333206176758,0.0,0.4416666626930237,8.586660146713257,1
1,10.699999809265137,0.2750000059604645,5.224999904632568,15.600000381469727,0.6536949872970581,3.4096950217612885,17.866666793823242,0.0,14.133333206176758,0.0,0.4416666626930237,8.30908555984497,1
2,6.699999809265137,0.4000000059604645,5.099999904632568,19.600000381469727,0.7755503058433533,2.18122014084702,17.866666793823242,0.0,14.133333206176758,0.0,0.4416666626930237,5.413173087437948,1
3,4.724999904632568,0.2750000059604645,5.224999904632568,21.575000762939453,0.8415880799293518,1.4132708613790057,17.866666793823242,0.0,14.133333206176758,0.0,0.4416666626930237,3.7515975713729857,1
4,2.625,0.17499999701976776,5.324999809265137,23.674999237060547,0.9119496941566467,0.834952935107849,17.866666793823242,0.0,14.133333206176758,0.0,0.4416666626930237,2.6409396807352703,1
5,2.049999952316284,0.07500000298023224,5.425000190734863,24.25,0.9339622855186462,0.6355992495638769,17.866666793823242,0.0,14.133333206176758,0.0,0.4416666626930237,1.9314181645711264,1
6,1.399999976158142,0.20000000298023224,5.300000190734863,24.899999618530273,0.9488993883132935,0.41004778225701183,17.866666793823242,0.0,14.133333206176758,0.0,0.4416666626930237,1.1912922362486522,1
7,0.44999998807907104,0.22499999403953552,5.275000095367432,25.850000381469727,0.9795597195625305,0.07645605321762697,17.866666793823242,0.0,14.133333206176758,0.0,0.4416666626930237,0.7523456613222758,1
8,0.22499999403953552,0.20000000298023224,5.300000190734863,26.075000762939453,0.9866352081298828,0.04765631805566497,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,0.7055850267410279,1
9,0.125,0.02500000037252903,5.474999904632568,26.174999237060547,0.9956761002540588,0.025629088338230202,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,0.7933876891930898,1
10,0.07500000298023224,0.05000000074505806,5.449999809265137,26.225000381469727,0.9968553185462952,0.010521648776038029,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,1.0811695416768392,1
11,0.07500000298023224,0.0,5.5,26.225000381469727,0.9976415038108826,0.00929183585264679,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,1.461882185935974,1
12,0.02500000037252903,0.02500000037252903,5.474999904632568,26.274999618530273,0.99842768907547,0.0074309183221673535,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,1.900727919737498,1
13,0.15000000596046448,0.02500000037252903,5.474999904632568,26.149999618530273,0.9941037893295288,0.014601157623439817,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,1.9842690785725912,1
14,0.05000000074505806,0.0,5.5,26.25,0.99842768907547,0.005732700485683416,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,2.307445784409841,1
15,0.0,0.0,5.5,26.299999237060547,0.9996069073677063,0.0017202969255371008,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,2.741170410315196,1
16,0.0,0.0,5.5,26.299999237060547,1.0,0.0020601214809341756,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,2.97891583442688,1
17,0.05000000074505806,0.0,5.5,26.25,0.99842768907547,0.004101966409621842,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,3.1373359680175783,1
18,0.0,0.02500000037252903,5.474999904632568,26.299999237060547,0.9988207817077637,0.003297217164365077,0.0,14.133333206176758,0.0,17.866666793823242,0.5583333373069763,3.690070652961731,1
0,0.8666666746139526,2.5,11.633333206176758,17.0,0.895312488079071,0.34823784784724315,0.0,21.0,0.0,11.0,0.34375,1.1658268557353453,2
1,0.2666666805744171,0.10000000149011612,14.033333778381348,17.600000381469727,0.987500011920929,0.056164160949022816,0.0,21.0,0.0,11.0,0.34375,1.2485606277530843,2
2,0.03333333507180214,0.06666667014360428,14.066666603088379,17.83333396911621,0.9963541626930237,0.014314221092111742,0.0,21.0,0.0,11.0,0.34375,1.2073493356054479,2
3,0.10000000149011612,0.03333333507180214,14.100000381469727,17.766666412353516,0.9963541626930237,0.01040442058777747,0.0,21.0,0.0,11.0,0.34375,1.2084423967383124,2
4,0.0,0.0,14.133333206176758,17.866666793823242,1.0,0.002616829391142043,0.0,21.0,0.0,11.0,0.34375,1.406867498701269,2
5,0.0,0.0,14.133333206176758,17.866666793823242,1.0,0.0028339082607999446,0.0,21.0,0.0,11.0,0.34375,1.595724647695368,2
6,0.0,0.0,14.133333206176758,17.866666793823242,1.0,0.00104630206648532,0.0,21.0,0.0,11.0,0.34375,1.7164536931297996,2
7,0.0,0.0,14.133333206176758,17.866666793823242,1.0,0.0003898018529677453,0.0,21.0,0.0,11.0,0.34375,1.8701972744681619,2
8,0.0,0.0,14.133333206176758,17.866666793823242,1.0,0.00033798013798029086,0.0,21.0,0.0,11.0,0.34375,1.8536685840650038,2
9,0.0,0.0,14.133333206176758,17.866666793823242,1.0,8.267111173457428e-05,0.0,21.0,0.0,11.0,0.34375,2.0380905785343866,2
10,0.0,0.0,14.133333206176758,17.866666793823242,1.0,0.0002121389924165366,0.0,21.0,0.0,11.0,0.34375,2.0275648073716597,2
0,1.0909091234207153,6.113636493682861,14.886363983154297,9.909090995788574,0.7766335010528564,0.748744551431049,0.0,12.615385055541992,0.0,18.615385055541992,0.5960590839385986,0.8224661799487222,3
1,0.6818181872367859,1.1590908765792847,19.840909957885742,10.318181991577148,0.9421164989471436,0.1640455090356144,0.0,12.615385055541992,0.0,18.615385055541992,0.5960590839385986,0.7307281047839836,3
2,0.3636363744735718,0.3636363744735718,20.636363983154297,10.636363983154297,0.9765625,0.06965526163747365,0.0,12.615385055541992,0.0,18.615385055541992,0.5960590839385986,0.6933322481333916,3
3,0.09090909361839294,0.20454545319080353,20.795454025268555,10.909090995788574,0.9904119372367859,0.034012867899780926,0.0,12.615385055541992,0.0,18.615385055541992,0.5960590839385986,0.6795958028051067,3
4,0.06818182021379471,0.0,21.0,10.931818008422852,0.9978693127632141,0.014334279424722561,0.23076923191547394,12.615385055541992,0.0,18.384614944458008,0.5246305465698242,0.6889610983468042,3
5,0.0,0.0,21.0,11.0,1.0,0.004449342067924921,0.0,12.615385055541992,0.0,18.615385055541992,0.5603448152542114,0.6845927214974841,3
6,0.04545454680919647,0.06818182021379471,20.93181800842285,10.954545021057129,0.99609375,0.010180840666924434,0.0,12.615385055541992,0.0,18.615385055541992,0.5960590839385986,0.6772410760959381,3
7,0.0,0.0,21.0,11.0,1.0,0.0026587663957219443,0.0,12.615385055541992,0.0,18.615385055541992,0.5960590839385986,0.6781185809614623,3
