,Federated Train Loss,Federated Train Accuracy,Federated Test Loss,Federated Test Accuracy
0,0.2981633504142879,0.9132196307182312,0.3109010291735749,0.9074891209602356
1,0.17112991878161876,0.949687659740448,0.17118593659735526,0.9479042887687683
2,0.1399884250262828,0.958129346370697,0.1385513518960796,0.9582555294036865
3,0.11676942123983526,0.9652203321456909,0.11292719873432977,0.9656937718391418
4,0.09360082991628463,0.9716359972953796,0.09314424847501578,0.9726794362068176
5,0.08132670775901671,0.9770386815071106,0.07898405799012684,0.9762995839118958
6,0.07037414889676531,0.9797400236129761,0.06754674722882892,0.9800045490264893
7,0.06100312784430433,0.9819348454475403,0.05853040301306778,0.9828327298164368
8,0.05776390091893017,0.9826101660728455,0.052153486354312675,0.9852084517478943
9,0.0511163270646804,0.9839608073234558,0.04576332329276329,0.987244725227356
10,0.04682038404507333,0.9844673275947571,0.041480743053103036,0.9880366325378418
11,0.04381614285093275,0.9858179688453674,0.037834789021259585,0.989196240901947
12,0.041236890891623815,0.9869998097419739,0.03503429004951483,0.9895638823509216
13,0.039635809876016066,0.9873374700546265,0.03296735199952513,0.990525484085083
14,0.0371122771254222,0.9871686697006226,0.030822283405525282,0.9906951785087585
15,0.03719018477523947,0.9885193109512329,0.028589303442373155,0.9916002154350281
16,0.0358493019634909,0.9881816506385803,0.026969948215183063,0.9923638105392456
17,0.03331481122043509,0.9886881709098816,0.025401529007278864,0.992590069770813
18,0.03356178236591837,0.9893634915351868,0.023993001922241127,0.9932122826576233
19,0.03332070114870108,0.9880128502845764,0.023640020816780034,0.9927880764007568
20,0.03138591633462834,0.9891946911811829,0.021535692881783617,0.9937779307365417
21,0.03163864207451385,0.9897011518478394,0.020793921923998898,0.9940041899681091
22,0.031514504718750044,0.9897011518478394,0.019871438945994135,0.9941455721855164
23,0.0315584302297302,0.989870011806488,0.01854398823087063,0.9948526620864868
24,0.030347281182756095,0.9900388121604919,0.017901466516574267,0.9948526620864868
25,0.02951905981611161,0.9895323514938354,0.01717058844756889,0.9950506091117859
26,0.02895670359214596,0.9905453324317932,0.016060820380316386,0.995531439781189
27,0.028979770212499846,0.9903764724731445,0.015438241948407806,0.9957576990127563
28,0.028765869515432467,0.9908829927444458,0.014619560901287531,0.99587082862854
29,0.028601863716082497,0.9908829927444458,0.014269761279166229,0.9958425164222717
