,accuracy,auc,false_negatives,false_positives,loss,pr,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_pr,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9162499904632568,0.972015917301178,182.0,220.0,0.2200274683535099,0.9726909399032593,0.9097620844841003,0.9241666793823242,2180.0,2218.0,0.8232638835906982,0.9319090247154236,6.0,503.0,0.42485785484313965,0.18221208453178406,0.09694793820381165,0.8999999761581421,2317.0,54.0
1,0.9414583444595337,0.9857889413833618,127.0,154.0,0.17145776080588498,0.986045777797699,0.9365471601486206,0.9470833539962769,2246.0,2273.0,0.7961805462837219,0.9249616265296936,6.0,581.0,0.49930879258447225,0.1520717740058899,0.08503936976194382,0.8999999761581421,2239.0,54.0
2,0.9568750262260437,0.9909791350364685,89.0,118.0,0.14574146136641503,0.9911551475524902,0.9514203667640686,0.9629166722297668,2282.0,2311.0,0.8145833611488342,0.9238740801811218,7.0,527.0,0.4686696629557345,0.15533432364463806,0.0913793072104454,0.8833333253860474,2293.0,53.0
3,0.9649999737739563,0.9950984716415405,73.0,95.0,0.12342907855908077,0.9952322244644165,0.9607762098312378,0.9695833325386047,2305.0,2327.0,0.8277778029441833,0.92567378282547,7.0,489.0,0.4640724894073274,0.15712769329547882,0.09778597950935364,0.8833333253860474,2331.0,53.0
4,0.9754166603088379,0.9972929358482361,48.0,70.0,0.10804151552418868,0.9973126649856567,0.9710982441902161,0.9800000190734863,2330.0,2352.0,0.8479166626930237,0.9263948202133179,8.0,430.0,0.3934663689798779,0.15977869927883148,0.10788381844758987,0.8666666746139526,2390.0,52.0
5,0.9827083349227905,0.9983736872673035,35.0,48.0,0.09543955338497957,0.9984127283096313,0.9801077246665955,0.9854166507720947,2352.0,2365.0,0.815625011920929,0.9281914234161377,6.0,525.0,0.4947672931684388,0.1647222489118576,0.09326425194740295,0.8999999761581421,2295.0,54.0
6,0.98416668176651,0.9990691542625427,29.0,47.0,0.08242043651640416,0.9990896582603455,0.9805624485015869,0.9879166483879089,2353.0,2371.0,0.8336805701255798,0.9217376112937927,11.0,468.0,0.4330694001581934,0.15711519122123718,0.09477756172418594,0.8166666626930237,2352.0,49.0
7,0.9870833158493042,0.9990540146827698,21.0,41.0,0.0769815528516968,0.9990192651748657,0.9830578565597534,0.9912499785423279,2359.0,2379.0,0.8347222208976746,0.9194739460945129,11.0,465.0,0.4382869407534599,0.1561036854982376,0.09533073753118515,0.8166666626930237,2355.0,49.0
8,0.9893749952316284,0.9995456337928772,24.0,27.0,0.07292246360331774,0.9995561242103577,0.9887640476226807,0.9900000095367432,2373.0,2376.0,0.8368055820465088,0.9236111044883728,8.0,462.0,0.4338203891283936,0.14521685242652893,0.10116731375455856,0.8666666746139526,2358.0,52.0
9,0.9895833134651184,0.999514102935791,13.0,37.0,0.06731699602057536,0.9994769096374512,0.9847359657287598,0.9945833086967468,2363.0,2387.0,0.8350694179534912,0.9227394461631775,8.0,467.0,0.4412278525531292,0.14912810921669006,0.10019268095493317,0.8666666746139526,2353.0,52.0
