,accuracy,auc,false_negatives,false_positives,loss,pr,precision,recall,subject_103_accuracy,subject_103_auc,subject_103_false_negatives,subject_103_false_positives,subject_103_loss,subject_103_pr,subject_103_precision,subject_103_recall,subject_103_true_negatives,subject_103_true_positives,subject_121_accuracy,subject_121_auc,subject_121_false_negatives,subject_121_false_positives,subject_121_loss,subject_121_pr,subject_121_precision,subject_121_recall,subject_121_true_negatives,subject_121_true_positives,subject_124_accuracy,subject_124_auc,subject_124_false_negatives,subject_124_false_positives,subject_124_loss,subject_124_pr,subject_124_precision,subject_124_recall,subject_124_true_negatives,subject_124_true_positives,subject_47_accuracy,subject_47_auc,subject_47_false_negatives,subject_47_false_positives,subject_47_loss,subject_47_pr,subject_47_precision,subject_47_recall,subject_47_true_negatives,subject_47_true_positives,subject_49_accuracy,subject_49_auc,subject_49_false_negatives,subject_49_false_positives,subject_49_loss,subject_49_pr,subject_49_precision,subject_49_recall,subject_49_true_negatives,subject_49_true_positives,subject_66_accuracy,subject_66_auc,subject_66_false_negatives,subject_66_false_positives,subject_66_loss,subject_66_pr,subject_66_precision,subject_66_recall,subject_66_true_negatives,subject_66_true_positives,subject_97_accuracy,subject_97_auc,subject_97_false_negatives,subject_97_false_positives,subject_97_loss,subject_97_pr,subject_97_precision,subject_97_recall,subject_97_true_negatives,subject_97_true_positives,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_pr,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8857142925262451,0.9951357075146268,82.0,238.0,0.3149063752804484,0.9946167894772122,0.8893336057662964,0.9414285676819936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162.0,1318.0,0.7189589986736326,0.5649641467305456,1294.0,2572.0,0.6737260946375137,0.4347421140579263,0.40625796921596724,0.3308981363164647,8404.0,1486.0
1,0.9600000040871757,0.9998982122966221,15.0,97.0,0.13318268501332828,0.9998970457485743,0.9501974582672119,0.9892857074737547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.0,1385.0,0.7462925310223628,0.5670648002284805,1228.0,2262.0,0.6292087689402813,0.45353623710769875,0.4066479535045996,0.3405651312281344,8714.0,1552.0
2,0.9921428561210631,0.9999999744551522,5.0,17.0,0.06396543679492814,0.9999999744551522,0.9887072529111589,0.9964285748345509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383.0,1395.0,0.7643937192473795,0.5674078335731519,1217.0,2024.0,0.6166345200296378,0.45873344819814044,0.41003723661370595,0.3463804356907647,8952.0,1563.0
3,0.9978571449007306,0.9999999574252536,3.0,3.0,0.041946140006184574,0.9999999999999998,0.9978748389652796,0.9978571449007305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397.0,1397.0,0.7729717957250737,0.5676240593619595,1213.0,1910.0,0.6142100369382794,0.4597697003735606,0.41140607814433167,0.3446309700040631,9066.0,1567.0
4,0.9999999999999998,1.0000000085149492,0.0,0.0,0.029145017388675896,0.9999999914850506,0.9999999999999998,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,0.780168654220019,0.5678006369521986,1207.0,1817.0,0.6164155829422703,0.45839142470070005,0.4138201450185396,0.34530132077363523,9159.0,1573.0
5,0.9999999999999998,1.0000000170298984,0.0,0.0,0.02382676094238247,0.9999999829701014,0.9999999999999998,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,0.7873655143116719,0.5679354003329165,1208.0,1717.0,0.6102834082289548,0.4591643092728659,0.4148078486648331,0.3451895945621251,9259.0,1572.0
6,0.9999999999999998,1.0,0.0,0.0,0.019996518370296274,0.9999999829701014,0.9999999999999998,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,0.7878016852780496,0.5678756358353819,1211.0,1708.0,0.6168879104670386,0.45874178581162917,0.4149476104990346,0.3442811345024558,9268.0,1569.0
7,0.9999999999999998,0.9999999744551522,0.0,0.0,0.017281286514231137,0.9999999914850506,0.9999999999999998,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,0.7904187328106064,0.5680882407330122,1212.0,1671.0,0.613465178952349,0.4592715924338706,0.415746774558031,0.340349981148044,9305.0,1568.0
8,0.9999999999999998,0.9999999829701014,0.0,0.0,0.015168312072221721,0.9999999914850506,0.9999999999999998,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,0.7917272526945234,0.5681679498390182,1211.0,1654.0,0.6157116295104155,0.45983880194996496,0.4158755889567015,0.34265806489331874,9322.0,1569.0
9,0.9999999999999998,0.9999999914850506,0.0,0.0,0.01366583506709763,0.9999999914850506,0.9999999999999998,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,0.7933265484217364,0.5685240257510823,1212.0,1631.0,0.6149305714444344,0.4612758834891002,0.4165937882864603,0.341973050757181,9345.0,1568.0
