,FN,FP,TN,TP,accuracy,loss,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_loss,Session
0,0.0,0.1034482792019844,30.931034088134766,0.0,0.9961110949516296,0.015104555837978258,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
1,0.0,0.0,31.034482955932617,0.0,1.0,0.00031377082098919747,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
2,0.0,0.0,31.034482955932617,0.0,1.0,0.0002951178705431327,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
3,0.0,0.0,31.034482955932617,0.0,1.0,4.258078602308362e-05,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
4,0.0,0.0,31.034482955932617,0.0,1.0,7.758499621041261e-06,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
5,0.0,0.0,31.034482955932617,0.0,1.0,7.599279965499287e-06,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
6,0.0,0.0,31.034482955932617,0.0,1.0,8.867906989154209e-07,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
7,0.0,0.0,31.034482955932617,0.0,1.0,9.918521267593404e-07,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
8,0.0,0.0,31.034482955932617,0.0,1.0,3.9694676129581945e-07,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
9,0.0,0.0,31.034482955932617,0.0,1.0,7.361188093252875e-08,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
10,0.0,0.0,31.034482955932617,0.0,1.0,8.586415832370322e-08,0.0,0.0,31.034482955932617,0.0,1.0,0.0,1
0,0.0,0.03448275849223137,31.0,0.0,0.9988889098167419,0.004244207792462476,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
1,0.0,0.0,31.034482955932617,0.0,1.0,2.935831750218338e-05,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
2,0.0,0.0,31.034482955932617,0.0,1.0,5.561018000687707e-06,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
3,0.0,0.0,31.034482955932617,0.0,1.0,4.812754681318489e-05,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
4,0.0,0.0,31.034482955932617,0.0,1.0,1.785742665497815e-06,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
5,0.0,0.0,31.034482955932617,0.0,1.0,9.56529874669185e-07,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
6,0.0,0.0,31.034482955932617,0.0,1.0,3.8137748737830814e-07,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
7,0.0,0.0,31.034482955932617,0.0,1.0,3.0051207286558364e-07,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
8,0.0,0.0,31.034482955932617,0.0,1.0,1.2212392224202833e-07,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
9,0.0,0.0,31.034482955932617,0.0,1.0,1.631856369657372e-07,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
10,0.0,0.0,31.034482955932617,0.0,1.0,4.777976072113511e-07,0.0,0.0,31.487178802490234,0.0,1.0,0.0,2
0,0.0,0.12820513546466827,31.35897445678711,0.0,0.9959283471107483,0.012235720990996742,0.0,0.0,31.875,0.0,1.0,0.0,3
1,0.0,0.0,31.487178802490234,0.0,1.0,0.0001722699454124383,0.0,0.0,31.875,0.0,1.0,0.0,3
2,0.0,0.0,31.487178802490234,0.0,1.0,3.647900481645672e-05,0.0,0.0,31.875,0.0,1.0,0.0,3
3,0.0,0.0,31.487178802490234,0.0,1.0,5.76059445726098e-06,0.0,0.0,31.875,0.0,1.0,0.0,3
4,0.0,0.0,31.487178802490234,0.0,1.0,2.358180954055022e-06,0.0,0.0,31.875,0.0,1.0,0.0,3
5,0.0,0.0,31.487178802490234,0.0,1.0,1.4324873420298315e-06,0.0,0.0,31.875,0.0,1.0,0.0,3
6,0.0,0.0,31.487178802490234,0.0,1.0,5.045297205860476e-07,0.0,0.0,31.875,0.0,1.0,0.0,3
7,0.0,0.0,31.487178802490234,0.0,1.0,8.562149119275973e-08,0.0,0.0,31.875,0.0,1.0,0.0,3
8,0.0,0.0,31.487178802490234,0.0,1.0,1.0256135388810749e-07,0.0,0.0,31.875,0.0,1.0,0.0,3
9,0.0,0.0,31.487178802490234,0.0,1.0,5.734845195758387e-08,0.0,0.0,31.875,0.0,1.0,0.0,3
10,0.0,0.0,31.487178802490234,0.0,1.0,2.2327518393686698e-08,0.0,0.0,31.875,0.0,1.0,0.0,3
0,0.0,0.03125,31.84375,0.0,0.9995098114013672,0.0009106536954036796,3.8620688915252686,0.0,28.13793182373047,0.0,0.8793103694915771,1.8560974227971043,4
