,accuracy,auc,false_negatives,false_positives,loss,pr,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_pr,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9780163764953613,0.9953516125679016,120.0,140.0,0.08779196571450046,0.9953707456588745,0.9764824509620667,0.9797741174697876,5754.0,5813.0,0.9239093661308289,0.9720593690872192,119.0,106.0,0.21310867833292965,0.9641718864440918,0.9266943335533142,0.9184373021125793,1392.0,1340.0
1,0.9808911681175232,0.9974139332771301,107.0,119.0,0.073868950349665,0.9973292350769043,0.9799831509590149,0.9819653034210205,5775.0,5826.0,0.9049712419509888,0.9715293049812317,67.0,214.0,0.24415271324828383,0.9652194380760193,0.8667497038841248,0.9540781378746033,1284.0,1392.0
2,0.9863870739936829,0.9985849261283875,70.0,91.0,0.0647776739879242,0.9984805583953857,0.9847161769866943,0.9882015585899353,5803.0,5863.0,0.9225566387176514,0.9730684757232666,99.0,130.0,0.20974130550570128,0.9655648469924927,0.9127516746520996,0.9321452975273132,1368.0,1360.0
3,0.9895155429840088,0.999247670173645,62.0,62.0,0.057100062597068325,0.9992590546607971,0.989549994468689,0.989549994468689,5832.0,5871.0,0.9256002902984619,0.97398841381073,82.0,138.0,0.20740518983772246,0.9672104716300964,0.908910870552063,0.9437971115112305,1360.0,1377.0
4,0.9899382591247559,0.9993297457695007,58.0,61.0,0.05507883300904446,0.9993226528167725,0.9897237420082092,0.9902241826057434,5833.0,5875.0,0.9232330322265625,0.9738218188285828,86.0,141.0,0.20976973784344802,0.9666656255722046,0.9068692326545715,0.9410555362701416,1357.0,1373.0
5,0.9929821491241455,0.9995586276054382,39.0,44.0,0.04979346733635736,0.9996284246444702,0.992590069770813,0.9934266209602356,5850.0,5894.0,0.9249238967895508,0.9735057353973389,110.0,112.0,0.2083743495144149,0.968459963798523,0.9233402013778687,0.9246059060096741,1386.0,1349.0
6,0.9930667281150818,0.9997046589851379,45.0,37.0,0.048142177257612835,0.999711275100708,0.9937552809715271,0.9924153089523315,5857.0,5888.0,0.9245857000350952,0.9734262824058533,126.0,97.0,0.2078230203981935,0.9671497941017151,0.9321678280830383,0.913639485836029,1401.0,1333.0
7,0.992897629737854,0.9997283816337585,45.0,39.0,0.04604925371160307,0.9997314214706421,0.9934199452400208,0.9924153089523315,5855.0,5888.0,0.9259384274482727,0.975265383720398,104.0,115.0,0.20073609269265996,0.9700326919555664,0.9217687249183655,0.9287183284759521,1383.0,1355.0
8,0.99509596824646,0.999813437461853,33.0,25.0,0.04114171936323735,0.9998226761817932,0.9957805871963501,0.9944378733634949,5869.0,5900.0,0.9228948354721069,0.9748414754867554,88.0,140.0,0.20670802984985098,0.9689112305641174,0.9073461294174194,0.9396846890449524,1358.0,1371.0
9,0.9943349957466125,0.9998705983161926,38.0,29.0,0.04041592330761065,0.9998725652694702,0.9951046705245972,0.9935951232910156,5865.0,5895.0,0.9266148209571838,0.9751512408256531,124.0,93.0,0.20259664217523518,0.9692031741142273,0.9348739385604858,0.9150102734565735,1405.0,1335.0
