,Aggregate Accuracy,Aggregate Avg. Precision,Aggregate F1_Score,Aggregate Precision,Aggregate Recall,Epoch,FN,FP,Individual Accuracy,Individual Avg. Precision,Individual F1-Score,Individual Precision,Individual Recall,Loss,Person,Session,TN,TP
0,0.9791666666666666,1.0,0.9696969696969697,0.9411764705882353,1.0,0,0,2,0.9791666666666666,1.0,0.9696969696969697,0.9411764705882353,1.0,0.10231856256723404,43.0,0,62,32
1,1.0,,,,,0,0,0,1.0,,,,,0.021682435646653175,48.0,0,96,0
2,0.9744318181818182,0.9560016916634566,0.8,0.6666666666666666,1.0,0,0,9,0.9744318181818182,0.9560016916634566,0.8,0.6666666666666666,1.0,0.09149108082056046,52.0,0,325,18
3,0.9088541666666666,,,0.0,,0,0,35,0.9088541666666666,,,0.0,,0.2221815586090088,59.0,0,349,0
4,0.9661458333333334,0.9929550621317269,0.9037037037037037,0.8243243243243243,1.0,0,0,13,0.9661458333333334,0.9929550621317269,0.9037037037037037,0.8243243243243243,1.0,0.09837063401937485,64.0,0,310,61
5,0.96875,0.9995702679170082,0.9813664596273292,0.9673469387755103,0.9957983193277311,0,1,8,0.96875,0.9995702679170082,0.9813664596273292,0.9673469387755103,0.9957983193277311,0.08751755952835083,80.0,0,42,237
6,0.9553571428571429,0.9649705808197879,0.9090909090909091,0.9433962264150944,0.8771929824561403,0,14,6,0.9553571428571429,0.9649705808197879,0.9090909090909091,0.9433962264150944,0.8771929824561403,0.1571279615163803,92.0,0,328,100
7,1.0,,,,,0,0,0,1.0,,,,,0.03181751072406769,96.0,0,224,0
8,0.9821428571428571,0.7918019480519481,0.8,0.6666666666666666,1.0,0,0,4,0.9821428571428571,0.7918019480519481,0.8,0.6666666666666666,1.0,0.08494894951581955,107.0,0,212,8
9,0.8660714285714286,,,0.0,,0,0,30,0.8660714285714286,,,0.0,,0.3947579562664032,109.0,0,194,0
10,0.9583333333333334,0.9888888888888889,0.6521739130434783,0.4838709677419355,1.0,0,0,16,0.9583333333333334,0.9888888888888889,0.6521739130434783,0.4838709677419355,1.0,0.11544198542833328,115.0,0,353,15
11,0.96875,0.965796214507214,0.835820895522388,0.717948717948718,1.0,0,0,11,0.96875,0.965796214507214,0.835820895522388,0.717948717948718,1.0,0.08974289149045944,120.0,0,313,28
12,1.0,,,,,0,0,0,1.0,,,,,0.017907293513417244,43.0,1,160,0
13,0.88125,0.5857099415927611,0.7816091954022988,0.6538461538461539,0.9714285714285714,0,1,18,0.88125,0.5857099415927611,0.7816091954022988,0.6538461538461539,0.9714285714285714,0.3616591691970825,48.0,1,107,34
14,1.0,,,,,0,0,0,1.0,,,,,0.0031867134384810925,52.0,1,160,0
15,0.8835227272727273,0.9019676444421892,0.8379446640316206,0.8412698412698413,0.8346456692913385,0,21,20,0.8835227272727273,0.9019676444421892,0.8379446640316206,0.8412698412698413,0.8346456692913385,0.357576459646225,59.0,1,205,106
16,0.59375,0.07710748974770106,0.145985401459854,0.08196721311475409,0.6666666666666666,0,5,112,0.59375,0.07710748974770106,0.145985401459854,0.08196721311475409,0.6666666666666666,0.783609926700592,64.0,1,161,10
17,0.9151785714285714,0.9840648213293037,0.9272030651340997,0.9166666666666666,0.937984496124031,0,8,11,0.9151785714285714,0.9840648213293037,0.9272030651340997,0.9166666666666666,0.937984496124031,0.19417953491210938,80.0,1,84,121
18,0.765625,0.9420921600629557,0.8571428571428571,0.9310344827586207,0.7941176470588235,0,35,10,0.765625,0.9420921600629557,0.8571428571428571,0.9310344827586207,0.7941176470588235,0.5301425457000732,92.0,1,12,135
19,0.7142857142857143,,,0.0,,0,0,64,0.7142857142857143,,,0.0,,0.8064197301864624,96.0,1,160,0
20,1.0,,,,,0,0,0,1.0,,,,,0.0039984495379030704,107.0,1,224,0
21,0.875,0.9565770497659942,0.8758620689655172,0.8300653594771242,0.927007299270073,0,10,26,0.875,0.9565770497659942,0.8758620689655172,0.8300653594771242,0.927007299270073,0.33489659428596497,109.0,1,125,127
22,0.98125,,,0.0,,0,0,3,0.98125,,,0.0,,0.12403341382741928,115.0,1,157,0
23,1.0,,,,,0,0,0,1.0,,,,,0.003011945402249694,120.0,1,288,0
24,1.0,,,,,0,0,0,1.0,,,,,0.02867439016699791,43.0,2,160,0
25,1.0,,,,,0,0,0,1.0,,,,,0.008105133660137653,48.0,2,32,0
26,1.0,,,,,0,0,0,1.0,,,,,0.005080663599073887,52.0,2,192,0
27,0.8715277777777778,0.3243219429227733,0.32727272727272727,0.23076923076923078,0.5625,0,7,30,0.8715277777777778,0.3243219429227733,0.32727272727272727,0.23076923076923078,0.5625,0.28841471672058105,64.0,2,242,9
28,0.7528409090909091,0.8206270254034344,0.6716981132075471,0.6180555555555556,0.7355371900826446,0,32,55,0.7528409090909091,0.8206270254034344,0.6716981132075471,0.6180555555555556,0.7355371900826446,0.5353298783302307,80.0,2,176,89
29,0.7678571428571429,,,0.0,,0,0,52,0.7678571428571429,,,0.0,,0.46397870779037476,92.0,2,172,0
30,0.9340277777777778,,,0.0,,0,0,19,0.9340277777777778,,,0.0,,0.1627480536699295,96.0,2,269,0
31,0.5234375,0.9921059131699124,0.5271317829457365,1.0,0.35789473684210527,0,122,0,0.5234375,0.9921059131699124,0.5271317829457365,1.0,0.35789473684210527,1.4065290689468384,107.0,2,66,68
32,0.984375,,,0.0,,0,0,3,0.984375,,,0.0,,0.1608724445104599,109.0,2,189,0
33,0.8368055555555556,0.6231647619226909,0.5688073394495413,0.5636363636363636,0.5740740740740741,0,23,24,0.8368055555555556,0.6231647619226909,0.5688073394495413,0.5636363636363636,0.5740740740740741,0.6395846605300903,115.0,2,210,31
34,1.0,,,,,0,0,0,1.0,,,,,0.007195265963673592,120.0,2,192,0
35,1.0,,,,,0,0,0,1.0,,,,,0.017196940258145332,43.0,3,96,0
36,0.99375,,,0.0,,0,0,1,0.99375,,,0.0,,0.08144841343164444,48.0,3,159,0
37,1.0,,,,,0,0,0,1.0,,,,,0.024358298629522324,52.0,3,160,0
38,0.84375,,,0.0,,0,0,20,0.84375,,,0.0,,0.37805667519569397,64.0,3,108,0
39,0.6302083333333334,0.946888299802995,0.5590062111801242,1.0,0.3879310344827586,0,71,0,0.6302083333333334,0.946888299802995,0.5590062111801242,1.0,0.3879310344827586,1.356305718421936,80.0,3,76,45
40,1.0,,,,,0,0,0,1.0,,,,,0.022358059883117676,92.0,3,224,0
