,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8927083611488342,0.9577272534370422,271.0,244.0,0.2647989385823409,0.8971765637397766,0.8870833516120911,2156.0,2129.0,0.8986272215843201,0.0,0.0,384.0,0.24759216841070303,0.0,0.0,3404.0,0.0
1,0.9162499904632568,0.9761549830436707,201.0,201.0,0.2082781362036864,0.9162499904632568,0.9162499904632568,2199.0,2199.0,0.9709609150886536,0.0,0.0,110.0,0.11151663991283338,0.0,0.0,3678.0,0.0
2,0.9295833110809326,0.9809765219688416,165.0,173.0,0.18887925446033477,0.9281561374664307,0.9312499761581421,2227.0,2235.0,0.9651530981063843,0.0,0.0,132.0,0.12894884542952495,0.0,0.0,3656.0,0.0
3,0.9395833611488342,0.9851152896881104,143.0,147.0,0.16963703744113445,0.9388518929481506,0.940416693687439,2253.0,2257.0,0.985216498374939,0.0,0.0,56.0,0.06476359961528838,0.0,0.0,3732.0,0.0
4,0.95291668176651,0.9893776178359985,109.0,117.0,0.1526298007617394,0.9514119625091553,0.9545833468437195,2283.0,2291.0,0.9765047430992126,0.0,0.0,89.0,0.08373197669275459,0.0,0.0,3699.0,0.0
5,0.9522916674613953,0.990487813949585,116.0,113.0,0.14534923255443574,0.9528577327728271,0.9516666531562805,2287.0,2284.0,0.9831045269966125,0.0,0.0,64.0,0.0711575120593074,0.0,0.0,3724.0,0.0
6,0.9554166793823242,0.9916988611221313,106.0,108.0,0.137783263027668,0.9550374746322632,0.9558333158493042,2292.0,2294.0,0.9754487872123718,0.0,0.0,93.0,0.08944250830501287,0.0,0.0,3695.0,0.0
7,0.9589583277702332,0.9937025308609009,98.0,99.0,0.12703423909842967,0.9587671756744385,0.9591666460037231,2301.0,2302.0,0.9728088974952698,0.0,0.0,103.0,0.08817650482388963,0.0,0.0,3685.0,0.0
8,0.965624988079071,0.9944151043891907,85.0,80.0,0.11993285978833834,0.9665970802307129,0.9645833373069763,2320.0,2315.0,0.9970961213111877,0.0,0.0,11.0,0.020512741891551202,0.0,0.0,3777.0,0.0
9,0.9668750166893005,0.9951937198638916,68.0,91.0,0.11623479763666789,0.9624432325363159,0.971666693687439,2309.0,2332.0,0.9794086813926697,0.0,0.0,78.0,0.08223614272874914,0.0,0.0,3710.0,0.0
10,0.9683333039283752,0.9956067800521851,70.0,82.0,0.10938670399288336,0.9660032987594604,0.9708333611488342,2318.0,2330.0,0.9910243153572083,0.0,0.0,34.0,0.03898116840795076,0.0,0.0,3754.0,0.0
11,0.9700000286102295,0.9957248568534851,63.0,81.0,0.10891527329881986,0.9665012359619141,0.9737499952316284,2319.0,2337.0,0.9828405380249023,0.0,0.0,65.0,0.0700445143110586,0.0,0.0,3723.0,0.0
12,0.9750000238418579,0.9970629215240479,55.0,65.0,0.09863688223063946,0.9730290174484253,0.9770833253860474,2335.0,2345.0,0.9912883043289185,0.0,0.0,33.0,0.04052427623552735,0.0,0.0,3755.0,0.0
13,0.9745833277702332,0.9969289302825928,64.0,58.0,0.09852216555426518,0.9757727384567261,0.9733333587646484,2342.0,2336.0,0.9868004322052002,0.0,0.0,50.0,0.04702285200420377,0.0,0.0,3738.0,0.0
