,accuracy,auc,false_negatives,false_positives,loss,precision,recall,subject_107_accuracy,subject_107_auc,subject_107_false_negatives,subject_107_false_positives,subject_107_loss,subject_107_precision,subject_107_recall,subject_107_true_negatives,subject_107_true_positives,subject_115_accuracy,subject_115_auc,subject_115_false_negatives,subject_115_false_positives,subject_115_loss,subject_115_precision,subject_115_recall,subject_115_true_negatives,subject_115_true_positives,subject_43_accuracy,subject_43_auc,subject_43_false_negatives,subject_43_false_positives,subject_43_loss,subject_43_precision,subject_43_recall,subject_43_true_negatives,subject_43_true_positives,subject_52_accuracy,subject_52_auc,subject_52_false_negatives,subject_52_false_positives,subject_52_loss,subject_52_precision,subject_52_recall,subject_52_true_negatives,subject_52_true_positives,subject_64_accuracy,subject_64_auc,subject_64_false_negatives,subject_64_false_positives,subject_64_loss,subject_64_precision,subject_64_recall,subject_64_true_negatives,subject_64_true_positives,subject_80_accuracy,subject_80_auc,subject_80_false_negatives,subject_80_false_positives,subject_80_loss,subject_80_precision,subject_80_recall,subject_80_true_negatives,subject_80_true_positives,subject_92_accuracy,subject_92_auc,subject_92_false_negatives,subject_92_false_positives,subject_92_loss,subject_92_precision,subject_92_recall,subject_92_true_negatives,subject_92_true_positives,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
3,0.625,0.6801844239234924,808.0,242.0,1.727503719329834,0.7098321318626404,0.4228571355342865,0.9944444298744202,0.0,0.0,5.0,0.07110220869796144,0.0,0.0,895.0,0.0,0.8757225275039673,0.0,0.0,86.0,0.2984955260863883,0.0,0.0,606.0,0.0,1.0,0.0,0.0,0.0,0.002216415755994479,0.0,0.0,644.0,0.0,1.0,0.0,0.0,0.0,0.00015167528057866025,0.0,0.0,660.0,0.0,0.9478827118873596,0.5713863372802734,64.0,0.0,0.27207910548592235,0.0,0.0,1164.0,0.0,0.6292017102241516,0.6420677304267883,252.0,101.0,1.23034781267663,0.73209547996521,0.5227272510528564,323.0,276.0,0.8832487463951111,0.6025815010070801,0.0,92.0,0.6268515063421375,0.8832487463951111,1.0,0.0,696.0,1158.0,592.0,0.8293560743331909,0.8539203405380249,637.0,1165.0,0.44994765190464076,0.4925958216190338,0.6397058963775635,7627.0,1131.0
4,0.6278571486473083,0.6893870234489441,819.0,223.0,1.73715541941779,0.7226368188858032,0.41499999165534973,0.9977777600288391,0.0,0.0,2.0,0.041855508672694365,0.0,0.0,898.0,0.0,0.8887283205986023,0.0,0.0,77.0,0.252919983140306,0.0,0.0,615.0,0.0,1.0,0.0,0.0,0.0,0.004186777652513167,0.0,0.0,644.0,0.0,1.0,0.0,0.0,0.0,0.00011935778267357047,0.0,0.0,660.0,0.0,0.9462540745735168,0.5728428363800049,64.0,2.0,0.266172287239411,0.0,0.0,1162.0,0.0,0.625,0.6442073583602905,260.0,97.0,1.3301805418078638,0.734246551990509,0.5075757503509521,327.0,268.0,0.8832487463951111,0.6101949214935303,0.0,92.0,0.582272570750435,0.8832487463951111,1.0,0.0,696.0,1177.0,581.0,0.8392045497894287,0.8536787033081055,682.0,1016.0,0.43827741412502347,0.5166507959365845,0.6142534017562866,7776.0,1086.0
5,0.6296428442001343,0.6958340406417847,825.0,212.0,1.760343200819833,0.7306225895881653,0.4107142984867096,0.9988889098167419,0.0,0.0,1.0,0.02424977893423703,0.0,0.0,899.0,0.0,0.8945086598396301,0.0,0.0,73.0,0.23816107756140603,0.0,0.0,619.0,0.0,1.0,0.0,0.0,0.0,0.0008626730797338004,0.0,0.0,644.0,0.0,1.0,0.0,0.0,0.0,8.450022838642877e-05,0.0,0.0,660.0,0.0,0.9478827118873596,0.5599831342697144,64.0,0.0,0.28503690044780894,0.0,0.0,1164.0,0.0,0.6323529481887817,0.6488685011863708,265.0,85.0,1.4163899261410497,0.7557471394538879,0.49810606241226196,339.0,263.0,0.8832487463951111,0.6489334106445312,0.0,92.0,0.5535183763746078,0.8832487463951111,1.0,0.0,696.0,1188.0,575.0,0.8470643758773804,0.851885974407196,685.0,930.0,0.43491643929120266,0.5380029678344727,0.6125565767288208,7862.0,1083.0
6,0.6364285945892334,0.7067245244979858,807.0,211.0,1.6785338412012372,0.7375621795654297,0.4235714375972748,1.0,0.0,0.0,0.0,0.01742796246583263,0.0,0.0,900.0,0.0,0.8684971332550049,0.0,0.0,91.0,0.325387444110275,0.0,0.0,601.0,0.0,1.0,0.0,0.0,0.0,0.0005382250393205756,0.0,0.0,644.0,0.0,1.0,0.0,0.0,0.0,0.00012835921630594937,0.0,0.0,660.0,0.0,0.9478827118873596,0.5809037089347839,64.0,0.0,0.2632995590519051,0.0,0.0,1164.0,0.0,0.6239495873451233,0.6455965638160706,281.0,77.0,1.570074458082183,0.7623456716537476,0.467803031206131,347.0,247.0,0.8845177888870239,0.6493784189224243,0.0,91.0,0.5658366716452662,0.8843710422515869,1.0,1.0,696.0,1189.0,593.0,0.84375,0.8531411290168762,638.0,1012.0,0.4415909292345697,0.527544379234314,0.639140248298645,7780.0,1130.0
7,0.6482142806053162,0.7124624252319336,766.0,219.0,1.5761843756267002,0.743259072303772,0.4528571367263794,1.0,0.0,0.0,0.0,0.014301585521962907,0.0,0.0,900.0,0.0,0.8858381509780884,0.0,0.0,79.0,0.2774883053895366,0.0,0.0,613.0,0.0,1.0,0.0,0.0,0.0,0.0019525608701504165,0.0,0.0,644.0,0.0,1.0,0.0,0.0,0.0,0.0001704499921426318,0.0,0.0,660.0,0.0,0.9470683932304382,0.5946225523948669,64.0,1.0,0.2509350782011542,0.0,0.0,1163.0,0.0,0.6355041861534119,0.6393184661865234,257.0,90.0,1.4914272192145597,0.7506925463676453,0.5132575631141663,334.0,271.0,0.8845177888870239,0.5987006425857544,1.0,90.0,0.5111931852882888,0.8853503465652466,0.9985632300376892,2.0,695.0,1181.0,634.0,0.8321022987365723,0.854982316493988,586.0,1187.0,0.4582468272384369,0.4989446997642517,0.668552041053772,7605.0,1182.0
8,0.6474999785423279,0.7196249961853027,778.0,209.0,1.5829389122554234,0.7484958171844482,0.44428572058677673,1.0,0.0,0.0,0.0,0.008370284718047414,0.0,0.0,900.0,0.0,0.8887283205986023,0.0,0.0,77.0,0.27812762480939746,0.0,0.0,615.0,0.0,1.0,0.0,0.0,0.0,0.002577228154929251,0.0,0.0,644.0,0.0,1.0,0.0,0.0,0.0,0.00018062124312784748,0.0,0.0,660.0,0.0,0.9446253776550293,0.6052271723747253,64.0,4.0,0.2427617866752202,0.0,0.0,1160.0,0.0,0.6365545988082886,0.6478076577186584,261.0,85.0,1.4074599402291434,0.7585227489471436,0.5056818127632141,339.0,267.0,0.8845177888870239,0.6416166424751282,2.0,89.0,0.48826060712640057,0.8863345980644226,0.9971264600753784,3.0,694.0,1191.0,622.0,0.840056836605072,0.8533929586410522,612.0,1077.0,0.44896899184042754,0.5176892280578613,0.6538461446762085,7715.0,1156.0
9,0.6507142782211304,0.7263609170913696,767.0,211.0,1.5370276621409824,0.75,0.4521428644657135,1.0,0.0,0.0,0.0,0.007761531863361597,0.0,0.0,900.0,0.0,0.900288999080658,0.0,0.0,69.0,0.22885904766920673,0.0,0.0,623.0,0.0,1.0,0.0,0.0,0.0,0.0016814777960202523,0.0,0.0,644.0,0.0,1.0,0.0,0.0,0.0,0.00023107777224416195,0.0,0.0,660.0,0.0,0.9446253776550293,0.6124087572097778,64.0,4.0,0.2447984476819489,0.0,0.0,1160.0,0.0,0.6281512379646301,0.6406250596046448,266.0,88.0,1.5602702022600574,0.7485714554786682,0.4962121248245239,336.0,262.0,0.8832487463951111,0.6529625654220581,3.0,89.0,0.48326995560360436,0.8861892819404602,0.9956896305084229,3.0,693.0,1189.0,633.0,0.835037887096405,0.851311981678009,592.0,1150.0,0.4636501602602727,0.5055890083312988,0.6651583909988403,7642.0,1176.0
10,0.6607142686843872,0.7344537973403931,734.0,216.0,1.4875480713163103,0.7551020383834839,0.4757142961025238,1.0,0.0,0.0,0.0,0.010002282738892568,0.0,0.0,900.0,0.0,0.913294792175293,0.0,0.0,60.0,0.19511820901336008,0.0,0.0,632.0,0.0,1.0,0.0,0.0,0.0,0.003950655489280727,0.0,0.0,644.0,0.0,1.0,0.0,0.0,0.0,0.0003655108078171245,0.0,0.0,660.0,0.0,0.9348534345626831,0.6293559670448303,64.0,16.0,0.2379556432220757,0.0,0.0,1148.0,0.0,0.631302535533905,0.6324239373207092,256.0,95.0,1.6004249518658935,0.7411444187164307,0.5151515007019043,329.0,272.0,0.8819797039031982,0.658139705657959,3.0,90.0,0.51538122275154,0.8850574493408203,0.9956896305084229,2.0,693.0,1184.0,666.0,0.8283144235610962,0.8499468564987183,583.0,1230.0,0.4782149146903645,0.4906832277774811,0.6702488660812378,7562.0,1185.0
