,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8438636660575867,0.9199040532112122,347.0,340.0,0.3883075124567205,0.8449612259864807,0.8422726988792419,1860.0,1853.0,0.7190513014793396,0.6198599934577942,1032.0,1882.0,0.5476634885600025,0.2368207573890686,0.36138615012168884,6874.0,584.0
1,0.8929545283317566,0.9588894248008728,194.0,277.0,0.30943511952053415,0.8786684274673462,0.9118182063102722,1923.0,2006.0,0.693019688129425,0.6176629662513733,972.0,2212.0,0.5821492149937443,0.22549019753932953,0.39851483702659607,6544.0,644.0
2,0.9090909361839294,0.971989095211029,164.0,236.0,0.27088980306278576,0.8961267471313477,0.9254545569419861,1964.0,2036.0,0.7220401167869568,0.6611390113830566,960.0,1923.0,0.5670165316827777,0.25436216592788696,0.40594059228897095,6833.0,656.0
3,0.9272727370262146,0.9805727005004883,111.0,209.0,0.24115074428645047,0.9090513586997986,0.9495454430580139,1991.0,2089.0,0.719533383846283,0.6458498239517212,1012.0,1897.0,0.5663563755433899,0.24150340259075165,0.3737623691558838,6859.0,604.0
4,0.9404545426368713,0.9849144816398621,108.0,154.0,0.2206863673166795,0.9314336776733398,0.9509090781211853,2046.0,2092.0,0.7386232018470764,0.6602568626403809,981.0,1730.0,0.5392944297555373,0.268498957157135,0.3929455578327179,7026.0,635.0
5,0.9454545378684998,0.9874505400657654,94.0,146.0,0.2057749138095162,0.9351687431335449,0.9572727084159851,2054.0,2106.0,0.7362129092216492,0.6277644038200378,1030.0,1706.0,0.5557563567869552,0.255671888589859,0.36262375116348267,7050.0,586.0
6,0.9565908908843994,0.991326630115509,65.0,126.0,0.18511490122838453,0.9442724585533142,0.9704545736312866,2074.0,2135.0,0.7320671081542969,0.660285472869873,965.0,1814.0,0.5721031103500104,0.2640973627567291,0.4028465449810028,6942.0,651.0
7,0.9593181610107422,0.9933793544769287,60.0,119.0,0.17206163677302275,0.9473218321800232,0.9727272987365723,2081.0,2140.0,0.7231006622314453,0.6563678979873657,934.0,1938.0,0.5871378275196938,0.26030534505844116,0.4220297038555145,6818.0,682.0
8,0.9668181538581848,0.9955085515975952,55.0,91.0,0.15838224096731707,0.9593023061752319,0.9750000238418579,2109.0,2145.0,0.7362129092216492,0.6621341109275818,969.0,1767.0,0.5804660577733591,0.2680198848247528,0.4003712832927704,6989.0,647.0
9,0.9670454263687134,0.995768129825592,51.0,94.0,0.15192286816510286,0.9580918550491333,0.9768182039260864,2106.0,2149.0,0.7291746735572815,0.6425679326057434,953.0,1856.0,0.5791094184174668,0.26319968700408936,0.4102722704410553,6900.0,663.0
