,accuracy,auc,false_negatives,false_positives,loss,pr,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_pr,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8770454525947571,0.9427803158760071,249.0,292.0,0.31325002767822957,0.9418174028396606,0.8698171973228455,0.8868181705474854,1908.0,1951.0,0.76918625831604,0.6725832223892212,1013.0,1381.0,0.7137454963252207,0.3773294687271118,0.30393144488334656,0.3731435537338257,7375.0,603.0
1,0.9434090852737427,0.9858060479164124,106.0,143.0,0.1608430167761716,0.9851050972938538,0.9360750913619995,0.9518181681632996,2057.0,2094.0,0.7668723464012146,0.6867934465408325,992.0,1426.0,0.7494035374001099,0.3670671582221985,0.3043902516365051,0.3861386179924011,7330.0,624.0
2,0.956818163394928,0.9913121461868286,87.0,103.0,0.1315809761665084,0.9912141561508179,0.953519880771637,0.960454523563385,2097.0,2113.0,0.7537600994110107,0.6734697818756104,931.0,1623.0,0.7704736678884427,0.3715341091156006,0.29679375886917114,0.42388615012168884,7133.0,685.0
3,0.971818208694458,0.9966694116592407,59.0,65.0,0.09719097077846527,0.9966700673103333,0.9705349206924438,0.9731818437576294,2135.0,2141.0,0.7428653836250305,0.666459858417511,892.0,1775.0,0.7424024580713868,0.3886699676513672,0.28971588611602783,0.448019802570343,6981.0,724.0
4,0.9777272939682007,0.997801661491394,43.0,55.0,0.08174832539124922,0.9977033138275146,0.9751356244087219,0.9804545640945435,2145.0,2157.0,0.747878909111023,0.6536219716072083,972.0,1643.0,0.8912528905912664,0.3298347294330597,0.28159159421920776,0.39851483702659607,7113.0,644.0
5,0.9847727417945862,0.999093770980835,26.0,41.0,0.06899893172762611,0.9990940690040588,0.9814898371696472,0.9881818294525146,2159.0,2174.0,0.7534708976745605,0.6891362071037292,930.0,1627.0,0.7611536921978549,0.38290080428123474,0.29658451676368713,0.42450493574142456,7129.0,686.0
6,0.9861363768577576,0.9992491006851196,27.0,34.0,0.06212855390527031,0.9992252588272095,0.984594464302063,0.9877272844314575,2166.0,2173.0,0.7525067329406738,0.6768306493759155,978.0,1589.0,0.8585578743849672,0.33244603872299194,0.2864840626716614,0.3948019742965698,7167.0,638.0
7,0.9915909171104431,0.9996046423912048,16.0,21.0,0.05246623665094376,0.9996065497398376,0.9904761910438538,0.9927272796630859,2179.0,2184.0,0.7481681704521179,0.691353976726532,908.0,1704.0,0.8203737125679925,0.36889487504959106,0.2935323417186737,0.4381188154220581,7052.0,708.0
8,0.9936363697052002,0.9997668266296387,15.0,13.0,0.049271783889694644,0.9997706413269043,0.9940855503082275,0.9931818246841431,2187.0,2185.0,0.7513498067855835,0.6636884808540344,965.0,1614.0,0.8933817618287672,0.3364276885986328,0.2874172329902649,0.4028465449810028,7142.0,651.0
9,0.9934090971946716,0.9997842907905579,18.0,11.0,0.04541941069066525,0.9997845888137817,0.9949840307235718,0.9918181896209717,2189.0,2182.0,0.7635942697525024,0.6988979578018188,963.0,1489.0,0.8079873308577282,0.3503235876560211,0.3048552870750427,0.40408414602279663,7267.0,653.0
10,0.9943181872367859,0.9998831748962402,12.0,13.0,0.041280172731388697,0.999886155128479,0.9940935969352722,0.9945454597473145,2187.0,2188.0,0.7587736248970032,0.6927321553230286,950.0,1552.0,0.8479848572010275,0.3523799180984497,0.30027052760124207,0.4121287167072296,7204.0,666.0
11,0.9952272772789001,0.9999226331710815,7.0,14.0,0.03692077373239127,0.9999241232872009,0.993656575679779,0.9968181848526001,2186.0,2193.0,0.7529888153076172,0.6747241616249084,959.0,1603.0,0.8792453724740097,0.33972781896591187,0.2907079756259918,0.40655940771102905,7153.0,657.0
12,0.9965909123420715,0.9999617338180542,5.0,10.0,0.032900145785375076,0.9999617338180542,0.9954648613929749,0.9977272748947144,2190.0,2195.0,0.7559776306152344,0.6866066455841064,944.0,1587.0,0.8855015022893509,0.33606433868408203,0.29747676849365234,0.41584157943725586,7169.0,672.0
13,0.9972727298736572,0.9999695420265198,6.0,6.0,0.029818293086507103,0.9999692440032959,0.9972727298736572,0.9972727298736572,2194.0,2194.0,0.7500964403152466,0.6963921785354614,897.0,1695.0,0.8206118712129162,0.37226980924606323,0.29784590005874634,0.4449257552623749,7061.0,719.0
14,0.9981818199157715,0.9999833703041077,1.0,7.0,0.026513363454829564,0.9999832510948181,0.9968268275260925,0.9995454549789429,2193.0,2199.0,0.7450829148292542,0.6910414695739746,888.0,1756.0,0.8640022371388107,0.35313400626182556,0.29307568073272705,0.45049506425857544,7000.0,728.0
15,0.9995454549789429,0.9999980926513672,2.0,0.0,0.023967367048290642,0.9999979734420776,1.0,0.9990909099578857,2200.0,2198.0,0.7540493607521057,0.6841377019882202,946.0,1605.0,0.8586835062531398,0.3525170683860779,0.2945055067539215,0.41460394859313965,7151.0,670.0
16,0.9990909099578857,0.9999971985816956,3.0,1.0,0.023036654794758017,0.9999971985816956,0.9995450377464294,0.9986363649368286,2199.0,2197.0,0.7495179176330566,0.6820996403694153,933.0,1665.0,0.861126507749164,0.3582257628440857,0.290885865688324,0.42264851927757263,7091.0,683.0
17,0.9988636374473572,0.9999947547912598,0.0,5.0,0.02275509965013374,0.999994695186615,0.997732400894165,1.0,2195.0,2200.0,0.7501928210258484,0.6831204891204834,943.0,1648.0,0.8962578389619797,0.34055837988853455,0.28996121883392334,0.41646039485931396,7108.0,673.0
18,0.9993181824684143,0.999996542930603,1.0,2.0,0.02273172280666503,0.9999964237213135,0.9990913271903992,0.9995454549789429,2198.0,2199.0,0.7541458010673523,0.6886622905731201,950.0,1600.0,0.893064307264238,0.3395470976829529,0.2939099669456482,0.4121287167072296,7156.0,666.0
19,0.9995454549789429,0.9999989867210388,0.0,2.0,0.020176023004407233,0.9999989867210388,0.9990917444229126,1.0,2198.0,2200.0,0.7601234316825867,0.6951217651367188,956.0,1532.0,0.9150798916285143,0.3286513388156891,0.3010948896408081,0.40841585397720337,7224.0,660.0
20,0.9990909099578857,0.9999837279319763,1.0,3.0,0.02009832793338732,0.9999834895133972,0.9986376166343689,0.9995454549789429,2197.0,2199.0,0.7580987215042114,0.6783527135848999,963.0,1546.0,0.9288647349534511,0.3323351740837097,0.2969531714916229,0.40408414602279663,7210.0,653.0
21,0.9988636374473572,0.9999987483024597,1.0,4.0,0.021300695064392958,0.9999988079071045,0.998184323310852,0.9995454549789429,2196.0,2199.0,0.7535672783851624,0.701237678527832,885.0,1671.0,0.9039594780005776,0.33928418159484863,0.3043297231197357,0.45235148072242737,7085.0,731.0
22,0.9997727274894714,0.9999991059303284,0.0,1.0,0.015506464798342098,0.9999991655349731,0.9995456337928772,1.0,2199.0,2200.0,0.7556883692741394,0.6910574436187744,950.0,1584.0,0.907896498731789,0.33910202980041504,0.29600000381469727,0.4121287167072296,7172.0,666.0
23,0.9993181824684143,0.9999992847442627,0.0,3.0,0.016262810772115534,0.9999991655349731,0.9986382126808167,1.0,2197.0,2200.0,0.7532780766487122,0.678446888923645,962.0,1597.0,0.9231493477190593,0.3402579426765442,0.2905375361442566,0.40470296144485474,7159.0,654.0
24,0.9995454549789429,1.0,2.0,0.0,0.01538728784092448,1.0,1.0,0.9990909099578857,2200.0,2198.0,0.7558811902999878,0.691083550453186,939.0,1593.0,0.9233148326710113,0.3339492678642273,0.2982378900051117,0.4189356565475464,7163.0,677.0
25,0.9993181824684143,0.9999989867210388,1.0,2.0,0.01640107391232794,0.999998927116394,0.9990913271903992,0.9995454549789429,2198.0,2199.0,0.7510605454444885,0.682494580745697,930.0,1652.0,0.9165352124230907,0.3407455086708069,0.2934131622314453,0.42450493574142456,7104.0,686.0
26,1.0,1.0,0.0,0.0,0.013662445860152896,1.0,1.0,1.0,2200.0,2200.0,0.7435402870178223,0.6742412447929382,935.0,1725.0,0.9464976962783647,0.33156687021255493,0.28304240107536316,0.4214108884334564,7031.0,681.0
27,0.9995454549789429,0.9999995827674866,2.0,0.0,0.015012698444453153,0.9999995231628418,1.0,0.9990909099578857,2200.0,2198.0,0.7517354488372803,0.680880069732666,959.0,1616.0,0.9352334741992546,0.33964744210243225,0.2890453040599823,0.40655940771102905,7140.0,657.0
28,0.9993181824684143,0.999998152256012,3.0,0.0,0.015467693407765843,0.9999980926513672,1.0,0.9986363649368286,2200.0,2197.0,0.7490358948707581,0.6891763806343079,933.0,1670.0,0.9543852932058703,0.31881099939346313,0.2902677357196808,0.42264851927757263,7086.0,683.0
29,0.9997727274894714,1.0,0.0,1.0,0.014244128425012935,0.9999999403953552,0.9995456337928772,1.0,2199.0,2200.0,0.7600269913673401,0.6927809715270996,969.0,1520.0,0.9293085126126543,0.32840561866760254,0.2985694408416748,0.4003712832927704,7236.0,647.0
