,accuracy,auc,false_negatives,false_positives,loss,precision,recall,subject_43_accuracy,subject_43_auc,subject_43_false_negatives,subject_43_false_positives,subject_43_loss,subject_43_precision,subject_43_recall,subject_43_true_negatives,subject_43_true_positives,subject_52_accuracy,subject_52_auc,subject_52_false_negatives,subject_52_false_positives,subject_52_loss,subject_52_precision,subject_52_recall,subject_52_true_negatives,subject_52_true_positives,subject_96_accuracy,subject_96_auc,subject_96_false_negatives,subject_96_false_positives,subject_96_loss,subject_96_precision,subject_96_recall,subject_96_true_negatives,subject_96_true_positives,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9241666793823242,0.9773576855659485,165.0,199.0,0.2099016676346461,0.918241560459137,0.9312499761581421,1.0,0.0,0.0,0.0,0.0037428171496198637,0.0,0.0,396.0,0.0,0.80982905626297,0.6614298224449158,67.0,289.0,1.011306892348151,0.15497076511383057,0.4416666626930237,1463.0,53.0,0.9078947305679321,0.6455237865447998,79.0,26.0,0.30615542562384357,0.2571428716182709,0.10227272659540176,1026.0,9.0,2201.0,2235.0,0.8647300601005554,0.668908417224884,146.0,315.0,0.6583526510867714,0.16445623338222504,0.29807692766189575,2885.0,62.0
1,0.934166669845581,0.9813891649246216,133.0,183.0,0.19540325303872427,0.9253061413764954,0.9445833563804626,0.9949495196342468,0.0,0.0,2.0,0.06142407046122984,0.0,0.0,394.0,0.0,0.5320512652397156,0.6581550240516663,32.0,844.0,1.5890742795080202,0.09442060440778732,0.7333333492279053,908.0,88.0,0.8728070259094238,0.643260657787323,64.0,81.0,0.35453815115125553,0.22857142984867096,0.27272728085517883,971.0,24.0,2217.0,2267.0,0.6998239159584045,0.6450361013412476,96.0,927.0,0.998604373193123,0.10779596120119095,0.5384615659713745,2273.0,112.0
2,0.9302083253860474,0.9827737808227539,147.0,188.0,0.19128179838260015,0.922982394695282,0.9387500286102295,1.0,0.0,0.0,0.0,0.01592068583469349,0.0,0.0,396.0,0.0,0.7238247990608215,0.6525114178657532,50.0,467.0,1.2197267479366727,0.13035382330417633,0.5833333134651184,1285.0,70.0,0.8991228342056274,0.6467280387878418,72.0,43.0,0.30948102871576944,0.2711864411830902,0.1818181872367859,1009.0,16.0,2212.0,2253.0,0.81455397605896,0.6560862064361572,122.0,510.0,0.7753645247416877,0.14429530501365662,0.4134615361690521,2690.0,86.0
3,0.9422916769981384,0.9862228631973267,119.0,158.0,0.17602024828394255,0.9352193474769592,0.9504166841506958,1.0,0.0,0.0,0.0,0.007855695714666084,0.0,0.0,396.0,0.0,0.689636766910553,0.6508822441101074,54.0,527.0,1.268148889908424,0.11129847913980484,0.550000011920929,1225.0,66.0,0.9070175290107727,0.6448323726654053,78.0,28.0,0.30629628284981375,0.2631579041481018,0.11363636702299118,1024.0,10.0,2242.0,2281.0,0.79841548204422,0.6465722322463989,132.0,555.0,0.7999592927140249,0.12044373899698257,0.36538460850715637,2645.0,76.0
4,0.9391666650772095,0.9852100610733032,130.0,162.0,0.17836336309711137,0.9333881735801697,0.9458333253860474,1.0,0.0,0.0,0.0,0.014565693430903585,0.0,0.0,396.0,0.0,0.5886752009391785,0.6508467197418213,38.0,732.0,1.4880396362043853,0.10073710232973099,0.6833333373069763,1020.0,82.0,0.8807017803192139,0.6469927430152893,68.0,68.0,0.33527701821243555,0.22727273404598236,0.22727273404598236,984.0,20.0,2238.0,2270.0,0.7341549396514893,0.648139238357544,106.0,800.0,0.9312189033193767,0.11308203637599945,0.49038460850715637,2400.0,102.0
5,0.9447916746139526,0.987412691116333,116.0,149.0,0.16911313156286875,0.9387587308883667,0.9516666531562805,1.0,0.0,0.0,0.0,0.0043080780735107686,0.0,0.0,396.0,0.0,0.8141025900840759,0.6619007587432861,66.0,282.0,1.0040005483688452,0.1607142835855484,0.44999998807907104,1470.0,54.0,0.9114035367965698,0.647197961807251,83.0,18.0,0.31390233604531537,0.21739129722118378,0.05681818351149559,1034.0,5.0,2251.0,2284.0,0.8682511448860168,0.6556422710418701,149.0,300.0,0.6569963058395565,0.1643453985452652,0.2836538553237915,2900.0,59.0
6,0.9454166889190674,0.9877144694328308,119.0,143.0,0.16629794637362164,0.941006600856781,0.9504166841506958,1.0,0.0,0.0,0.0,0.013969780096426757,0.0,0.0,396.0,0.0,0.6655982732772827,0.6515553593635559,43.0,583.0,1.3749865211992183,0.11666666716337204,0.6416666507720947,1169.0,77.0,0.8868421316146851,0.6589991450309753,71.0,58.0,0.31761114231327126,0.2266666740179062,0.1931818127632141,994.0,17.0,2257.0,2281.0,0.7784624695777893,0.6554145812988281,114.0,641.0,0.8631405407833941,0.1278911530971527,0.45192307233810425,2559.0,94.0
7,0.9539583325386047,0.9911061525344849,91.0,130.0,0.1529273169239362,0.9466994404792786,0.9620833396911621,1.0,0.0,0.0,0.0,0.004970855204237982,0.0,0.0,396.0,0.0,0.7879273295402527,0.6601503491401672,63.0,334.0,1.089144110170185,0.1457800567150116,0.4749999940395355,1418.0,57.0,0.9122806787490845,0.6541975736618042,84.0,16.0,0.3011061502130408,0.20000000298023224,0.04545454680919647,1036.0,4.0,2270.0,2309.0,0.8541666865348816,0.6544523239135742,147.0,350.0,0.6995621529263509,0.14841848611831665,0.29326921701431274,2850.0,61.0
8,0.9535416960716248,0.991056501865387,96.0,127.0,0.15122025122245153,0.947758138179779,0.9599999785423279,1.0,0.0,0.0,0.0,0.012478777658984516,0.0,0.0,396.0,0.0,0.7361111044883728,0.6514055728912354,55.0,439.0,1.2148657354534182,0.1289682537317276,0.5416666865348816,1313.0,65.0,0.8947368264198303,0.6708866953849792,77.0,43.0,0.3022339241546497,0.20370370149612427,0.125,1009.0,11.0,2273.0,2304.0,0.8198356628417969,0.6619448661804199,132.0,482.0,0.7698738491031486,0.1362007111310959,0.36538460850715637,2718.0,76.0
9,0.9597916603088379,0.9927396774291992,87.0,106.0,0.1429823239147663,0.956180214881897,0.9637500047683716,1.0,0.0,0.0,0.0,0.00912578400657183,0.0,0.0,396.0,0.0,0.6458333134651184,0.6499595642089844,45.0,618.0,1.40432636707257,0.10822510719299316,0.625,1134.0,75.0,0.8947368264198303,0.6604626774787903,69.0,51.0,0.31599262513612447,0.27142858505249023,0.21590909361839294,1001.0,19.0,2294.0,2313.0,0.7702465057373047,0.655700147151947,114.0,669.0,0.878152696879257,0.12319790571928024,0.45192307233810425,2531.0,94.0
10,0.9608333110809326,0.9928665161132812,89.0,99.0,0.14048760741949082,0.9589211344718933,0.9629166722297668,1.0,0.0,0.0,0.0,0.01219814864805702,0.0,0.0,396.0,0.0,0.7110042572021484,0.6508703827857971,56.0,485.0,1.2685828417794318,0.11657559126615524,0.5333333611488342,1267.0,64.0,0.9087719321250916,0.6589450240135193,82.0,22.0,0.2997568558182633,0.2142857164144516,0.06818182021379471,1030.0,6.0,2301.0,2311.0,0.8107394576072693,0.6442630290985107,138.0,507.0,0.7985153729926813,0.12131715565919876,0.3365384638309479,2693.0,70.0
