,Centralized Accuracy,Centralized Loss
0,0.9373999834060669,0.21321247289925813
1,0.9774500131607056,0.07534356799609959
2,0.9835333228111267,0.054411448450557266
3,0.9868000149726868,0.04124954202749456
4,0.9898999929428101,0.03270835765547429
5,0.9917833209037781,0.02566999102247258
6,0.9938166737556458,0.020658200943060607
7,0.9948999881744385,0.016186256818293866
8,0.9958999752998352,0.012787526565100415
9,0.9968000054359436,0.010363897012730012
10,0.9971166849136353,0.008604349990592649
11,0.9976833462715149,0.007455572490977647
12,0.9982666373252869,0.005730267975210397
13,0.9982666373252869,0.005763936440629065
14,0.9984999895095825,0.005075903367940373
15,0.9980833530426025,0.005338136886687486
16,0.9990166425704956,0.0035003048173177374
17,0.9984833598136902,0.005046935599246839
18,0.9993166923522949,0.002698269573843148
19,0.9987999796867371,0.0038753740964696894
20,0.9989500045776367,0.0034853521141298186
21,0.9992166757583618,0.002576068079500692
22,0.9991666674613953,0.002958505750557924
23,0.9989166855812073,0.0037508854207739203
24,0.9993166923522949,0.002450862624278731
25,0.9990666508674622,0.0028492369058640177
26,0.9992166757583618,0.0024813287081390323
27,0.9991166591644287,0.0027283032616162626
28,0.9991166591644287,0.002864683227535655
29,0.9995499849319458,0.0018203921841127037
