,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9381818175315857,0.9809814691543579,134.0,138.0,0.17465477360920473,0.9373865723609924,0.9390909075737,2062.0,2066.0,0.7537490129470825,0.761666476726532,1236.0,1260.0,0.6742587966672435,0.5631067752838135,0.5678321719169617,6016.0,1624.0
1,0.9606817960739136,0.9914087057113647,78.0,95.0,0.11219693627547134,0.9571493268013,0.9645454287528992,2105.0,2122.0,0.7765390872955322,0.7835807800292969,1084.0,1181.0,0.6404870073910106,0.6006087064743042,0.6209790110588074,6095.0,1776.0
2,0.9747727513313293,0.9957142472267151,53.0,58.0,0.07829954547638243,0.9736961722373962,0.9759091138839722,2142.0,2147.0,0.7974545955657959,0.8465835452079773,894.0,1159.0,0.5968200355274242,0.6291199922561646,0.6874125599861145,6117.0,1966.0
3,0.9790909290313721,0.9977181553840637,40.0,52.0,0.056166387549178166,0.9764918684959412,0.9818181991577148,2148.0,2160.0,0.7933109998703003,0.8621478080749512,653.0,1442.0,0.7560355289300408,0.6048232316970825,0.7716783285140991,5834.0,2207.0
4,0.9820454716682434,0.998168408870697,39.0,40.0,0.048102518620646816,0.9818264245986938,0.982272744178772,2160.0,2161.0,0.8110694289207458,0.8748987913131714,762.0,1153.0,0.7433013761946792,0.6453399062156677,0.7335664629936218,6123.0,2098.0
5,0.9879545569419861,0.9989499449729919,25.0,28.0,0.03540584938939322,0.98729008436203,0.9886363744735718,2172.0,2175.0,0.8130426406860352,0.8673587441444397,830.0,1065.0,0.7575210578910178,0.6558966040611267,0.7097902297973633,6211.0,2030.0
6,0.9906818270683289,0.9986653327941895,24.0,17.0,0.034072933969595896,0.9922480583190918,0.9890909194946289,2183.0,2176.0,0.7520717978477478,0.7960138320922852,1590.0,923.0,0.49961250724054834,0.5791153907775879,0.4440559446811676,6353.0,1270.0
7,0.9909090995788574,0.999311089515686,15.0,25.0,0.027262021075849505,0.9886877536773682,0.9931818246841431,2175.0,2185.0,0.7885753512382507,0.8278928399085999,1285.0,858.0,0.7308445662001314,0.647348940372467,0.5506992936134338,6418.0,1575.0
8,0.991136372089386,0.999301552772522,18.0,21.0,0.026061756670348008,0.9904675483703613,0.9918181896209717,2179.0,2182.0,0.7996250987052917,0.8425275683403015,984.0,1047.0,0.812240270525805,0.6418063640594482,0.6559440493583679,6229.0,1876.0
9,0.9954545497894287,0.9998842477798462,10.0,10.0,0.014755284864963455,0.9954545497894287,0.9954545497894287,2190.0,2190.0,0.7968626618385315,0.8614485859870911,746.0,1313.0,0.9551707659542984,0.6168660521507263,0.7391608357429504,5963.0,2114.0
10,0.9940909147262573,0.9998410940170288,12.0,14.0,0.016638131944716653,0.9936421513557434,0.9945454597473145,2186.0,2188.0,0.7939029335975647,0.8306761980056763,1468.0,621.0,0.777673376881427,0.6915051937103271,0.4867132902145386,6655.0,1392.0
11,0.9975000023841858,0.9999229907989502,5.0,6.0,0.010646292573708872,0.9972739815711975,0.9977272748947144,2194.0,2195.0,0.7877861261367798,0.8163506388664246,1579.0,572.0,0.5267755705348695,0.6913113594055176,0.4479020833969116,6704.0,1281.0
