,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8536363840103149,0.9285549521446228,282.0,362.0,0.3399453404816714,0.8412280678749084,0.8718181848526001,1838.0,1918.0,0.7028538584709167,0.6987031102180481,830.0,2252.0,0.6513370265843001,0.25872284173965454,0.48638615012168884,6504.0,786.0
1,0.9147727489471436,0.9705010652542114,145.0,230.0,0.23114550725980237,0.8993435502052307,0.9340909123420715,1970.0,2055.0,0.7580023407936096,0.7092631459236145,908.0,1602.0,0.5716191041845408,0.30649352073669434,0.4381188154220581,7154.0,708.0
2,0.9415909051895142,0.9845219254493713,102.0,155.0,0.18066508518023924,0.9312028288841248,0.9536363482475281,2045.0,2098.0,0.7520247101783752,0.7433677911758423,788.0,1784.0,0.5655300244171786,0.3169984817504883,0.5123762488365173,6972.0,828.0
3,0.9490908980369568,0.988329291343689,84.0,140.0,0.15933573451909153,0.9379432797431946,0.9618181586265564,2060.0,2116.0,0.7666795253753662,0.7138049006462097,928.0,1492.0,0.567031071532476,0.315596342086792,0.42574256658554077,7264.0,688.0
4,0.955227255821228,0.9909918308258057,79.0,118.0,0.1456788501956246,0.9472978711128235,0.964090883731842,2082.0,2121.0,0.7885653972625732,0.6925979256629944,946.0,1247.0,0.5585343171122265,0.3495044410228729,0.41460394859313965,7509.0,670.0
5,0.9677272439002991,0.9949317574501038,51.0,91.0,0.12147587182846936,0.9593750238418579,0.9768182039260864,2109.0,2149.0,0.7681257128715515,0.7319643497467041,925.0,1480.0,0.5805809262621324,0.3182865083217621,0.4275990128517151,7276.0,691.0
6,0.9688636660575867,0.99587482213974,54.0,83.0,0.11227252547036518,0.9627635478973389,0.975454568862915,2117.0,2146.0,0.7619552612304688,0.7287653088569641,903.0,1566.0,0.5927414110485669,0.312856525182724,0.44121286273002625,7190.0,713.0
7,0.9743182063102722,0.9969902634620667,46.0,67.0,0.10388194693760439,0.9698334336280823,0.9790909290313721,2133.0,2154.0,0.7419012784957886,0.729158878326416,866.0,1811.0,0.6347224562498212,0.29285433888435364,0.4641089141368866,6945.0,750.0
8,0.9772727489471436,0.9979894161224365,37.0,63.0,0.09301032724705609,0.9716981053352356,0.9831818342208862,2137.0,2163.0,0.7575202584266663,0.7141168713569641,906.0,1609.0,0.6394203135774625,0.3061664402484894,0.4393564462661743,7147.0,710.0
9,0.9863636493682861,0.9986622333526611,25.0,35.0,0.08183848889036612,0.9841628670692444,0.9886363744735718,2165.0,2175.0,0.766101062297821,0.7037733793258667,935.0,1491.0,0.6175589991088366,0.3135358989238739,0.4214108884334564,7265.0,681.0
