,FN,FP,TN,TP,accuracy,loss,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_loss,Session
0,1.2083333730697632,0.5,28.91666603088379,1.2083333730697632,0.9456806182861328,0.3182302131512597,0.0,0.0,31.567567825317383,0.0,1.0,0.0,1
1,0.4375,0.5416666865348816,28.875,1.9791666269302368,0.9695680737495422,0.08846386684060915,0.0,0.0,31.567567825317383,0.0,1.0,2.5515686975766533e-11,1
2,0.3541666567325592,0.2916666567325592,29.125,2.0625,0.9797120690345764,0.04958180194301287,0.0,0.0,31.567567825317383,0.0,1.0,3.53589407634692e-07,1
3,0.1875,0.1666666716337204,29.25,2.2291667461395264,0.988547146320343,0.03549475019982972,0.0,0.0,31.567567825317383,0.0,1.0,0.0005871434082695727,1
4,0.1041666641831398,0.1041666641831398,29.3125,2.3125,0.9937826991081238,0.018540908654734824,0.0,0.027027027681469917,31.54054069519043,0.0,0.9991438388824463,0.002832260380905796,1
5,0.1041666641831398,0.02083333395421505,29.39583396911621,2.3125,0.996073305606842,0.013651328327144004,0.0,0.0,31.567567825317383,0.0,1.0,1.6353717863794437e-05,1
6,0.0416666679084301,0.0625,29.35416603088379,2.375,0.9967277646064758,0.009887044407769852,0.0,0.5405405163764954,31.027027130126953,0.0,0.9820205569267273,0.0474961112246989,1
7,0.0,0.02083333395421505,29.39583396911621,2.4166667461395264,0.9990183115005493,0.0033546767882632177,0.0,0.054054055362939835,31.513513565063477,0.0,0.9982876777648926,0.003442105353523132,1
8,0.0416666679084301,0.0416666679084301,29.375,2.375,0.9973822236061096,0.005839578246381451,0.0,0.21621622145175934,31.351350784301758,0.0,0.9931507110595703,0.01893380926218289,1
9,0.0,0.0,29.41666603088379,2.4166667461395264,1.0,0.0004015987876791102,0.0,0.13513512909412384,31.432432174682617,0.0,0.9957191944122314,0.011030665960626792,1
10,0.0416666679084301,0.0,29.41666603088379,2.375,0.9986910820007324,0.0037994922982114037,0.0,0.0,31.567567825317383,0.0,1.0,6.832443604974818e-05,1
