,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8010684251785278,0.877206027507782,3337.0,3254.0,0.4552483999752903,0.802428662776947,0.798405110836029,13325.0,13216.0,0.840053141117096,0.9237958192825317,932.0,393.0,0.3741021975407216,0.8913163542747498,0.7756919264793396,3736.0,3223.0
1,0.8621876239776611,0.9309048652648926,2347.0,2219.0,0.34870369176487265,0.864901065826416,0.8582130074501038,14360.0,14206.0,0.869990348815918,0.9483341574668884,791.0,286.0,0.326355223218811,0.921643853187561,0.8096269369125366,3843.0,3364.0
2,0.8798442482948303,0.9463258981704712,1969.0,2012.0,0.3097689362751262,0.8787659406661987,0.8810487389564514,14567.0,14584.0,0.8930468559265137,0.9572246670722961,305.0,581.0,0.2840010866141446,0.8688783645629883,0.9265944361686707,3548.0,3850.0
3,0.8919171690940857,0.9551293253898621,1803.0,1778.0,0.28427715380238144,0.892425000667572,0.8910771608352661,14801.0,14750.0,0.8690246343612671,0.9583932161331177,154.0,931.0,0.3200122674901033,0.8112327456474304,0.9629362225532532,3198.0,4001.0
4,0.9010925889015198,0.9618895053863525,1570.0,1707.0,0.26251049854826497,0.8977231979370117,0.9051531553268433,14872.0,14983.0,0.9047561287879944,0.9685478210449219,212.0,577.0,0.24910185349010605,0.8723451495170593,0.9489771127700806,3552.0,3943.0
5,0.9067366719245911,0.9666133522987366,1492.0,1598.0,0.24690815876729963,0.9040758609771729,0.9098652601242065,14981.0,15061.0,0.8998068571090698,0.9691686630249023,644.0,186.0,0.26077869471175147,0.9496889114379883,0.845005989074707,3943.0,3511.0
6,0.913829505443573,0.970876932144165,1370.0,1485.0,0.23124041615275964,0.9109071493148804,0.9172355532646179,15094.0,15183.0,0.9110333323478699,0.9703371524810791,249.0,488.0,0.2300174546966312,0.8889394402503967,0.9400721788406372,3641.0,3906.0
7,0.9177230596542358,0.973869800567627,1273.0,1453.0,0.220513451987025,0.9131656289100647,0.9230955243110657,15126.0,15280.0,0.9252776503562927,0.9774436950683594,225.0,394.0,0.20646071688009884,0.9088806509971619,0.9458483457565308,3735.0,3930.0
8,0.9243329763412476,0.9774206876754761,1146.0,1361.0,0.20620289162299663,0.9188334941864014,0.930767834186554,15218.0,15407.0,0.9246740937232971,0.978407084941864,355.0,269.0,0.2049811082019258,0.9338904023170471,0.9145607948303223,3860.0,3800.0
9,0.9281661510467529,0.9796371459960938,1101.0,1279.0,0.19688583280993274,0.9235550761222839,0.9334864020347595,15300.0,15452.0,0.9051182866096497,0.9802603125572205,97.0,689.0,0.23638758189231518,0.8548557162284851,0.9766546487808228,3440.0,4058.0
