,accuracy,auc,false_negatives,false_positives,loss,precision,recall,subject_52_accuracy,subject_52_auc,subject_52_false_negatives,subject_52_false_positives,subject_52_loss,subject_52_precision,subject_52_recall,subject_52_true_negatives,subject_52_true_positives,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9381818175315857,0.9814396500587463,134.0,138.0,0.18487497199665417,0.9373865723609924,0.9390909075737,0.4716775715351105,0.9828142523765564,1.0,969.0,0.9887177050762966,0.13482142984867096,0.9934210777282715,715.0,151.0,2062.0,2066.0,0.4716775715351105,0.9828142523765564,1.0,969.0,0.9887177141663296,0.13482142984867096,0.9934210777282715,715.0,151.0
1,0.9447727203369141,0.9855345487594604,119.0,124.0,0.1689663828773932,0.9437641501426697,0.9459090828895569,0.5108932256698608,0.9854865074157715,1.0,897.0,0.9187441972086372,0.14408397674560547,0.9934210777282715,787.0,151.0,2076.0,2081.0,0.5108932256698608,0.9854865074157715,1.0,897.0,0.9187442020133689,0.14408397674560547,0.9934210777282715,787.0,151.0
2,0.9488636255264282,0.9863486886024475,104.0,121.0,0.16305824420668863,0.9454217553138733,0.9527272582054138,0.4716775715351105,0.9847519993782043,1.0,969.0,1.0113947638239476,0.13482142984867096,0.9934210777282715,715.0,151.0,2079.0,2096.0,0.4716775715351105,0.9847519993782043,1.0,969.0,1.0113947568116364,0.13482142984867096,0.9934210777282715,715.0,151.0
3,0.9538636207580566,0.9881559610366821,101.0,102.0,0.15499392528425562,0.9536574482917786,0.9540908932685852,0.765250563621521,0.9896549582481384,1.0,430.0,0.5290132664906952,0.25989672541618347,0.9934210777282715,1254.0,151.0,2098.0,2099.0,0.765250563621521,0.9896549582481384,1.0,430.0,0.5290132684385594,0.25989672541618347,0.9934210777282715,1254.0,151.0
4,0.9504545331001282,0.9887897968292236,100.0,118.0,0.1543091773715886,0.9467989206314087,0.9545454382896423,0.5321350693702698,0.9865530133247375,1.0,858.0,0.9090578937842175,0.1496531218290329,0.9934210777282715,826.0,151.0,2082.0,2100.0,0.5321350693702698,0.9865530133247375,1.0,858.0,0.9090578935245024,0.1496531218290329,0.9934210777282715,826.0,151.0
5,0.9563636183738708,0.9906489253044128,87.0,105.0,0.14517356731674888,0.952660083770752,0.960454523563385,0.7282134890556335,0.9892721176147461,1.0,498.0,0.6062763345007803,0.23266564309597015,0.9934210777282715,1186.0,151.0,2095.0,2113.0,0.7282134890556335,0.9892721176147461,1.0,498.0,0.6062763357993565,0.23266564309597015,0.9934210777282715,1186.0,151.0
6,0.962045431137085,0.9913508892059326,87.0,80.0,0.13808056870644742,0.9635202884674072,0.960454523563385,0.8344226479530334,0.9909305572509766,2.0,302.0,0.40742485773849074,0.33185839653015137,0.9868420958518982,1382.0,150.0,2120.0,2113.0,0.8344226479530334,0.9909305572509766,2.0,302.0,0.40742485605034173,0.33185839653015137,0.9868420958518982,1382.0,150.0
7,0.9615908861160278,0.9919784665107727,78.0,91.0,0.13510002315044403,0.9588793516159058,0.9645454287528992,0.7598039507865906,0.9879906177520752,1.0,440.0,0.5450936807136909,0.2554991543292999,0.9934210777282715,1244.0,151.0,2109.0,2122.0,0.7598039507865906,0.9879906177520752,1.0,440.0,0.5450936838952025,0.2554991543292999,0.9934210777282715,1244.0,151.0
8,0.9599999785423279,0.9915168285369873,84.0,92.0,0.13734337614341216,0.9583333134651184,0.9618181586265564,0.7156862616539001,0.9899870753288269,1.0,521.0,0.6310493463654404,0.224702388048172,0.9934210777282715,1163.0,151.0,2108.0,2116.0,0.7156862616539001,0.9899870753288269,1.0,521.0,0.6310493474692301,0.224702388048172,0.9934210777282715,1163.0,151.0
9,0.9665908813476562,0.9931319952011108,65.0,82.0,0.12539483750408345,0.9630130529403687,0.9704545736312866,0.7249455451965332,0.9891920685768127,1.0,504.0,0.618664079696784,0.23053434491157532,0.9934210777282715,1180.0,151.0,2118.0,2135.0,0.7249455451965332,0.9891920685768127,1.0,504.0,0.6186640788527096,0.23053434491157532,0.9934210777282715,1180.0,151.0
10,0.9659090638160706,0.9932044148445129,76.0,74.0,0.12353372665968808,0.9663330316543579,0.9654545187950134,0.7216775417327881,0.9890182018280029,1.0,510.0,0.6373968105560295,0.2284417599439621,0.9934210777282715,1174.0,151.0,2126.0,2124.0,0.7216775417327881,0.9890182018280029,1.0,510.0,0.6373967950380446,0.2284417599439621,0.9934210777282715,1174.0,151.0
11,0.9674999713897705,0.993610143661499,65.0,78.0,0.12140449889681557,0.9647537469863892,0.9704545736312866,0.7244008779525757,0.989240825176239,1.0,505.0,0.6117744235431447,0.2301829308271408,0.9934210777282715,1179.0,151.0,2122.0,2135.0,0.7244008779525757,0.989240825176239,1.0,505.0,0.6117744241924328,0.2301829308271408,0.9934210777282715,1179.0,151.0
