,Centralized Accuracy,Centralized Loss
0,0.9716571569442749,0.10428873607453418
1,0.9922583699226379,0.02474521627498817
2,0.99397873878479,0.01823291659167425
3,0.9960432052612305,0.011262201426372421
4,0.9972474575042725,0.008473348507880674
5,0.998193621635437,0.006334336505407863
6,0.9986667037010193,0.004330783774048758
7,0.999397873878479,0.002392537216784775
8,0.9994409084320068,0.0018232444769791605
9,0.9996129274368286,0.0015832937542091805
10,0.9994838833808899,0.0018733371395882427
11,0.9995698928833008,0.0016258379871933093
12,0.9996129274368286,0.0014033166398947144
13,0.9996989369392395,0.0009522234343640522
14,0.9997419714927673,0.001125377379885358
15,0.9998709559440613,0.00044624806222746987
16,1.0,4.676398291207263e-05
17,1.0,2.502011216446216e-05
18,1.0,1.6788797310343815e-05
19,1.0,1.233905746360586e-05
20,1.0,9.54491788315966e-06
21,1.0,7.267590309475595e-06
22,1.0,5.552470216862028e-06
23,1.0,4.105288503272102e-06
24,1.0,3.180665922259348e-06
25,1.0,2.5374850811261836e-06
26,1.0,2.0786259637391635e-06
27,1.0,1.7663700555530454e-06
28,1.0,1.6138578226911401e-06
29,0.9985377192497253,0.006164258307813723
