,FN,FP,TN,TP,accuracy,loss,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_loss,Session
0,5.039999961853027,5.71999979019165,10.279999732971191,10.960000038146973,0.6659374833106995,0.6201048204302788,0.0,0.095238097012043,30.571428298950195,0.0,0.9953415989875793,0.02995898537858395,1
1,2.700000047683716,2.9000000953674316,13.100000381469727,13.300000190734863,0.8246874809265137,0.3853917987644672,0.0,0.1428571492433548,30.5238094329834,0.0,0.9945651888847351,0.05387390511376517,1
2,1.5499999523162842,1.8899999856948853,14.109999656677246,14.449999809265137,0.8907812237739563,0.26384602844715116,0.0,0.380952388048172,30.285715103149414,0.0,0.986801266670227,0.046303610806208775,1
3,1.0299999713897705,1.1699999570846558,14.829999923706055,14.970000267028809,0.9312499761581421,0.18761134818196296,0.0,0.190476194024086,30.4761905670166,0.0,0.9945651888847351,0.026874538726514633,1
4,0.8299999833106995,0.9100000262260437,15.09000015258789,15.170000076293945,0.9451562762260437,0.1416888285987079,0.0,0.2857142984867096,30.380952835083008,0.0,0.9906832575798035,0.028421143925985933,1
5,0.6100000143051147,0.5699999928474426,15.430000305175781,15.390000343322754,0.961718738079071,0.0982686384767294,0.0,1.952380895614624,28.714284896850586,0.0,0.9324533939361572,0.1624003942327007,1
6,0.4399999976158142,0.5400000214576721,15.460000038146973,15.5600004196167,0.969531238079071,0.08046358418650926,0.0,0.0476190485060215,30.619047164916992,0.0,0.9984471797943115,0.007815600443170088,1
7,0.3100000023841858,0.38999998569488525,15.609999656677246,15.6899995803833,0.9790624976158142,0.06151808605529368,0.0,0.3333333432674408,30.33333396911621,0.0,0.989130437374115,0.023317651377747887,1
8,0.3499999940395355,0.2800000011920929,15.720000267028809,15.649999618530273,0.979687511920929,0.055255571752786635,0.0,0.3333333432674408,30.33333396911621,0.0,0.986801266670227,0.03288762147035103,1
9,0.23000000417232513,0.25,15.75,15.770000457763672,0.9848437309265137,0.040382267241366204,0.0,0.3333333432674408,30.33333396911621,0.0,0.9875776171684265,0.051837625378245336,1
10,0.10999999940395355,0.1599999964237213,15.84000015258789,15.890000343322754,0.9915624856948853,0.029081310740439223,0.0,1.1428571939468384,29.5238094329834,0.0,0.9627329111099243,0.09320464236256869,1
11,0.17000000178813934,0.14000000059604645,15.859999656677246,15.829999923706055,0.9903125166893005,0.030717698859516532,0.0,0.3333333432674408,30.33333396911621,0.0,0.9899068474769592,0.02511337557583411,1
0,1.6159420013427734,1.8478261232376099,14.094202995300293,14.32608699798584,0.892727255821228,0.27026382511312314,0.0,0.2380952388048172,30.809524536132812,0.0,0.9915643930435181,0.021131859724824117,2
1,0.8188405632972717,0.9855072498321533,14.956521987915039,15.123188018798828,0.942727267742157,0.15795018326152455,0.0,0.0,31.047618865966797,0.0,1.0,0.001808514623035694,2
2,0.5507246255874634,0.6884058117866516,15.253623008728027,15.391304016113281,0.9607954621315002,0.10824776535684412,0.0,0.190476194024086,30.85714340209961,0.0,0.9938650131225586,0.014740988767157348,2
3,0.4420289993286133,0.5,15.442028999328613,15.5,0.9694318175315857,0.08547792926430703,0.0,0.095238097012043,30.952381134033203,0.0,0.9976993799209595,0.006130754276667293,2
4,0.37681159377098083,0.3695652186870575,15.572463989257812,15.565217018127441,0.977045476436615,0.06753462961790237,0.0,0.190476194024086,30.85714340209961,0.0,0.9946318864822388,0.019810597044919286,2
5,0.260869562625885,0.28260868787765503,15.659420013427734,15.681159019470215,0.9823863506317139,0.049711388911713256,0.0,1.8571428060531616,29.190475463867188,0.0,0.9378834366798401,0.2895345685123666,2
6,0.260869562625885,0.19565217196941376,15.746376991271973,15.681159019470215,0.9852272868156433,0.04153041117062623,0.0,0.3333333432674408,30.714284896850586,0.0,0.9892638325691223,0.08532640241133621,2
0,1.6739130020141602,1.7028985023498535,14.239130020141602,14.268115997314453,0.8931818008422852,0.27366203508593817,0.0,1.2000000476837158,30.53333282470703,0.0,0.9674369692802429,0.134923879025864,3
1,0.8405796885490417,0.9202898740768433,15.02173900604248,15.101449012756348,0.9440909028053284,0.1536060104045001,0.0,0.0,31.733333587646484,0.0,1.0,0.02596152206773267,3
2,0.5724637508392334,0.6159420013427734,15.32608699798584,15.3695650100708,0.9630681872367859,0.1057919177683917,0.0,0.20000000298023224,31.53333282470703,0.0,0.9947478771209717,0.016762096321351137,3
3,0.47101449966430664,0.4637681245803833,15.47826099395752,15.471014022827148,0.9707954525947571,0.07937135257504203,0.0,0.0,31.733333587646484,0.0,1.0,0.0003534800063881303,3
4,0.3115941882133484,0.3550724685192108,15.586956977844238,15.6304349899292,0.9785227179527283,0.05965915733101693,0.0,0.0,31.733333587646484,0.0,1.0,3.0299349777995287e-05,3
5,0.18115942180156708,0.24637681245803833,15.69565200805664,15.760869979858398,0.9862499833106995,0.041835540424693715,0.0,0.0,31.733333587646484,0.0,1.0,0.000572522815039084,3
6,0.14492753148078918,0.1304347813129425,15.811594009399414,15.797101020812988,0.991136372089386,0.028382258477028122,0.0,0.0,31.733333587646484,0.0,1.0,0.00011858379385565425,3
7,0.10869564861059189,0.18840579688549042,15.753623008728027,15.833333015441895,0.9905681610107422,0.029438780309971085,0.0,0.0,31.733333587646484,0.0,1.0,0.0004627276872010303,3
8,0.09420289844274521,0.10144927352666855,15.840579986572266,15.84782600402832,0.9937499761581421,0.02384878658604893,0.0,0.0,31.733333587646484,0.0,1.0,1.1610651936643226e-05,3
9,0.10144927352666855,0.10869564861059189,15.833333015441895,15.840579986572266,0.9934090971946716,0.02055050997740843,0.0,0.0,31.733333587646484,0.0,1.0,7.4894600485446565e-06,3
10,0.05797101557254791,0.07246376574039459,15.8695650100708,15.884057998657227,0.9961363673210144,0.012738834923895246,0.0,0.13333334028720856,31.600000381469727,0.0,0.9968487620353699,0.007754586557718287,3
11,0.12318840622901917,0.15942029654979706,15.782608985900879,15.818840980529785,0.9914772510528564,0.02457195031943477,0.0,0.0,31.733333587646484,0.0,1.0,1.3767631022832223e-06,3
12,0.08695652335882187,0.07246376574039459,15.8695650100708,15.855072021484375,0.9946590662002563,0.02091415075236,0.0,0.06666667014360428,31.66666603088379,0.0,0.9968487620353699,0.006142999939331902,3
13,0.10144927352666855,0.10869564861059189,15.833333015441895,15.840579986572266,0.993295431137085,0.016972768017281356,0.0,0.6000000238418579,31.133333206176758,0.0,0.9789915680885315,0.04757941514351444,3
14,0.06521739065647125,0.05797101557254791,15.884057998657227,15.876811981201172,0.9961363673210144,0.014685984136727216,0.0,0.5333333611488342,31.200000762939453,0.0,0.9821428656578064,0.02973942702612644,3
15,0.05797101557254791,0.05797101557254791,15.884057998657227,15.884057998657227,0.9964772462844849,0.01283767283312045,0.0,0.0,31.733333587646484,0.0,1.0,0.0009678424557075457,3
16,0.050724636763334274,0.043478261679410934,15.898550987243652,15.891304016113281,0.9972727298736572,0.008100143117613201,0.0,0.20000000298023224,31.53333282470703,0.0,0.993697464466095,0.017779976553616246,3
0,1.0797101259231567,1.1304347515106201,14.811594009399414,14.862318992614746,0.9304545521736145,0.22744411641901188,5.761904716491699,0.2857142984867096,20.66666603088379,5.095238208770752,0.809880256652832,1.5718698394512702,4
1,0.52173912525177,0.5289855003356934,15.413043022155762,15.420289993286133,0.9676136374473572,0.09535904195159674,2.7142856121063232,2.047619104385376,18.904762268066406,8.142857551574707,0.8480538725852966,0.5102347767281675,4
2,0.34057971835136414,0.32608696818351746,15.615942001342773,15.601449012756348,0.9788636565208435,0.059384024835784324,6.714285850524902,0.0,20.952381134033203,4.142857074737549,0.7896706461906433,1.4540042423916435,4
3,0.24637681245803833,0.3333333432674408,15.608695983886719,15.69565200805664,0.9820454716682434,0.047616585640406064,4.333333492279053,1.6190476417541504,19.33333396911621,6.523809432983398,0.815119743347168,0.6544752913320849,4
4,0.15217390656471252,0.18840579688549042,15.753623008728027,15.789855003356934,0.9889772534370422,0.03663103494708511,3.3809523582458496,2.095238208770752,18.85714340209961,7.476190567016602,0.8255987763404846,0.80217816158683,4
5,0.10144927352666855,0.11594203114509583,15.82608699798584,15.840579986572266,0.9930681586265564,0.024818951240317386,4.857142925262451,0.8571428656578064,20.095237731933594,6.0,0.81886225938797,1.088536622103103,4
6,0.14492753148078918,0.14492753148078918,15.797101020812988,15.797101020812988,0.9907954335212708,0.02263077153125778,10.285714149475098,0.0,20.952381134033203,0.5714285969734192,0.6758981943130493,3.648399572886393,4
0,1.5466666221618652,1.493333339691162,14.506667137145996,14.453332901000977,0.9046875238418579,0.2587582134952148,0.0,0.0,30.769229888916016,0.0,1.0,0.0017755030991975218,5
1,0.753333330154419,0.7866666913032532,15.213333129882812,15.24666690826416,0.9520833492279053,0.12885940641785662,0.0,0.0,30.769229888916016,0.0,1.0,0.0013863836019299925,5
2,0.3333333432674408,0.41999998688697815,15.579999923706055,15.666666984558105,0.97635418176651,0.0728549594587336,0.0,0.8461538553237915,29.923076629638672,0.0,0.96875,0.07575339548289776,5
3,0.25999999046325684,0.36000001430511475,15.640000343322754,15.739999771118164,0.9800000190734863,0.056302495997709534,0.0,0.6153846383094788,30.153846740722656,0.0,0.9800000190734863,0.0586856160312891,5
4,0.1733333319425583,0.1666666716337204,15.833333015441895,15.826666831970215,0.989270806312561,0.04161525557283312,0.0,2.153846263885498,28.615385055541992,0.0,0.9312499761581421,0.16166977286338807,5
5,0.18666666746139526,0.19333332777023315,15.806666374206543,15.813333511352539,0.9884374737739563,0.030721609394919747,0.0,0.23076923191547394,30.538461685180664,0.0,0.9900000095367432,0.01446436408907175,5
6,0.07999999821186066,0.10000000149011612,15.899999618530273,15.920000076293945,0.9941666722297668,0.021142310190480202,0.0,0.7692307829856873,30.0,0.0,0.9750000238418579,0.052513231821358204,5
0,1.3799999952316284,1.4199999570846558,14.579999923706055,14.619999885559082,0.9118750095367432,0.24086713577310245,0.0,0.25,30.75,0.0,0.992943525314331,0.04059694575205926,6
1,0.8799999952316284,0.8199999928474426,15.180000305175781,15.119999885559082,0.9473958611488342,0.13687907217691342,0.0,0.1875,30.8125,0.0,0.9939516186714172,0.023992029589510733,6
2,0.4866666793823242,0.4866666793823242,15.513333320617676,15.513333320617676,0.9691666960716248,0.08142942686875661,0.0,0.3125,30.6875,0.0,0.9889112710952759,0.031115071247181585,6
3,0.3933333456516266,0.3400000035762787,15.65999984741211,15.606666564941406,0.9768750071525574,0.06484891693418225,0.0,2.3125,28.6875,0.0,0.9264112710952759,0.1745019857921908,6
4,0.15333333611488342,0.2266666740179062,15.773333549499512,15.84666633605957,0.9881250262260437,0.039628695532834775,0.0,0.0,31.0,0.0,1.0,0.0028393011607770477,6
5,0.15333333611488342,0.18000000715255737,15.819999694824219,15.84666633605957,0.9894791841506958,0.035987863071883716,0.0,0.0,31.0,0.0,1.0,0.0004759816490531516,6
6,0.12666666507720947,0.11999999731779099,15.880000114440918,15.873332977294922,0.9926041960716248,0.02223894727959608,0.0,0.0,31.0,0.0,0.9989919066429138,0.003166937258708546,6
7,0.1066666692495346,0.11999999731779099,15.880000114440918,15.893333435058594,0.9930208325386047,0.019561955561318123,0.0,1.625,29.375,0.0,0.9506048560142517,0.11873166399797605,6
8,0.09333333373069763,0.07999999821186066,15.920000076293945,15.90666675567627,0.9948958158493042,0.020229244065703825,0.0,2.625,28.375,0.0,0.9173387289047241,0.2193897352103264,6
9,0.09333333373069763,0.07333333045244217,15.926666259765625,15.90666675567627,0.9945833086967468,0.016727234997282115,0.0,0.0,31.0,0.0,1.0,0.002353143018309868,6
10,0.06666667014360428,0.11999999731779099,15.880000114440918,15.933333396911621,0.9941666722297668,0.01928844319152025,0.0,0.0,31.0,0.0,1.0,0.0017652951043395837,6
0,1.1866666078567505,1.2666666507720947,14.733333587646484,14.813333511352539,0.9222916960716248,0.21829413760453462,0.0,0.1818181872367859,30.363636016845703,0.0,0.9940476417541504,0.022716621233918148,7
1,0.5799999833106995,0.7266666889190674,15.273333549499512,15.420000076293945,0.9586458206176758,0.10233614627892772,0.0,0.9090909361839294,29.636363983154297,0.0,0.9717261791229248,0.08127279278068315,7
2,0.3400000035762787,0.3199999928474426,15.680000305175781,15.65999984741211,0.979687511920929,0.062353287028769654,0.0,0.5454545617103577,30.0,0.0,0.9821428656578064,0.054167412664918674,7
3,0.1733333319425583,0.24666666984558105,15.75333309173584,15.826666831970215,0.9867708086967468,0.043119986701446275,0.0,0.5454545617103577,30.0,0.0,0.980654776096344,0.06262099456840328,7
4,0.20000000298023224,0.2133333384990692,15.786666870117188,15.800000190734863,0.9869791865348816,0.034420126342059425,0.0,0.0,30.545454025268555,0.0,1.0,0.004432817300333963,7
5,0.14666666090488434,0.1133333370089531,15.886666297912598,15.853333473205566,0.99197918176651,0.023925809811335057,0.0,0.27272728085517883,30.272727966308594,0.0,0.9910714030265808,0.03495677640395505,7
6,0.1133333370089531,0.11999999731779099,15.880000114440918,15.886666297912598,0.9927083253860474,0.02170290291425772,0.0,0.3636363744735718,30.18181800842285,0.0,0.988095223903656,0.05199111836208474,7
7,0.1066666692495346,0.07999999821186066,15.920000076293945,15.893333435058594,0.9940624833106995,0.021456159797186652,0.0,5.636363506317139,24.909090042114258,0.0,0.8154761791229248,0.7479037571521032,7
8,0.0533333346247673,0.08666666597127914,15.91333293914795,15.946666717529297,0.9957291483879089,0.015864906520194684,0.0,0.3636363744735718,30.18181800842285,0.0,0.9895833134651184,0.0432139972635057,7
