,Aggregate Accuracy,Aggregate Avg. Precision,Aggregate F1_Score,Aggregate Precision,Aggregate Recall,Epoch,FN,FP,Individual Accuracy,Individual Avg. Precision,Individual F1-Score,Individual Precision,Individual Recall,Loss,Person,Session,TN,TP
0,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,33,0,0.65625,0.6960435685826724,,,0.0,1.4693046808242798,43.0,0,63,0
1,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,0,1.0,,,,,0.051441360265016556,48.0,0,96,0
2,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,46,0.8693181818181818,0.9421113264466261,0.43902439024390244,0.28125,1.0,0.4228160083293915,52.0,0,288,18
3,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,346,0.09895833333333333,,,0.0,,3.0869100093841553,59.0,0,38,0
4,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,24,7,0.9192708333333334,0.8571766814831164,0.7047619047619049,0.8409090909090909,0.6065573770491803,0.2427593618631363,64.0,0,316,37
5,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,43,0.8506944444444444,0.9958187960174911,0.9180952380952382,0.8485915492957746,1.0,0.3622320890426636,80.0,0,4,241
6,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,200,0.5535714285714286,0.3003240067202611,0.5327102803738317,0.3630573248407643,1.0,3.1818368434906006,92.0,0,134,114
7,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,19,0.9151785714285714,,,0.0,,0.24253463745117188,96.0,0,205,0
8,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,8,0,0.9642857142857143,0.21056408617093736,,,0.0,0.15104363858699799,107.0,0,216,0
9,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,0,1.0,,,,,0.039847344160079956,109.0,0,224,0
10,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,192,0.5,0.6794021657245894,0.12727272727272726,0.06796116504854369,1.0,0.9096235632896423,115.0,0,178,14
11,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,120,0.6590909090909091,0.8855330498485644,0.29411764705882354,0.1724137931034483,1.0,0.6780767440795898,120.0,0,207,25
12,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,0,1.0,,,,,0.0006885086186230183,43.0,1,160,0
13,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,1,17,0.8875,0.7445403951672991,0.7692307692307693,0.6382978723404256,0.967741935483871,0.32835498452186584,48.0,1,112,30
14,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,0,1.0,,,,,0.07145072519779205,52.0,1,160,0
15,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,95,0.7301136363636364,0.9686599749253921,0.732394366197183,0.5777777777777777,1.0,0.5362193584442139,59.0,1,127,130
16,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,6,61,0.7673611111111112,0.15337045004698252,0.21176470588235294,0.12857142857142856,0.6,0.5403074622154236,64.0,1,212,9
17,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,0,101,0.5491071428571429,0.43549802914763336,0.7089337175792508,0.5491071428571429,1.0,2.2189183235168457,80.0,1,0,123
18,0.8027377835951134,0.5294901949162536,0.5419779663163227,0.4288577154308617,0.7361541107671139,0,4,20,0.875,0.7982861571853304,0.9325842696629214,0.8924731182795699,0.9764705882352941,0.5928337574005127,92.0,1,2,166
