,Loss,Accuracy,Recall,Precision,TP,TN,FP,FN,F1_Score
0,0.9030624039757945,0.6713286713286714,0.6617258883248731,0.673904052936311,3259,3365,1577,1666,0.6677594508759348
1,1.153301160986453,0.6639302726259247,0.6485279187817259,0.668340657041222,3194,3357,1585,1731,0.658285243198681
2,1.1395070549573474,0.6608898348028783,0.6580710659898478,0.6610238629410565,3241,3280,1662,1684,0.6595441595441596
3,1.3279590049960048,0.6565318739231782,0.617258883248731,0.6690140845070423,3040,3438,1504,1885,0.6420952582110044
4,1.3391457233572857,0.6521739130434783,0.5646700507614213,0.6834603096583928,2781,3654,1288,2144,0.6184122748498998
5,1.5085511050927751,0.6563291780683085,0.6064974619289341,0.6727477477477477,2987,3489,1453,1938,0.6379071009076348
6,1.7442189975899358,0.6482213438735178,0.5575634517766498,0.6800396235760278,2746,3650,1292,2179,0.6127412696641751
7,1.719642685754432,0.6626127495692713,0.6044670050761421,0.6831115190454337,2977,3561,1381,1948,0.6413874824948831
8,1.9115475633687318,0.6577480490523969,0.5829441624365482,0.6845493562231759,2871,3619,1323,2054,0.629674306393245
9,2.029867693438965,0.652376608898348,0.6158375634517766,0.6635309560271275,3033,3404,1538,1892,0.6387952822240943
10,2.1999096114639918,0.6517685213337387,0.5819289340101523,0.675465472543012,2866,3565,1377,2059,0.6252181500872601
11,2.2641516014549974,0.6582547886895713,0.627005076142132,0.6679645252000865,3088,3407,1535,1837,0.6468370339338081
12,2.359456388004451,0.6548089591567853,0.5561421319796954,0.6918413740843647,2739,3722,1220,2186,0.6166141377757768
13,2.452922651666944,0.6571399614877875,0.5977664974619289,0.6774045098941556,2944,3540,1402,1981,0.635098694854924
14,2.494168190390023,0.6584574845444411,0.5969543147208122,0.6797687861271676,2940,3557,1385,1985,0.6356756756756757
15,2.581706330522828,0.659369615891355,0.5987817258883249,0.680433779418551,2949,3557,1385,1976,0.6370018360514095
16,2.5832789024452416,0.6606871389480086,0.6058883248730964,0.6795718515144614,2984,3535,1407,1941,0.6406182911120653
17,2.737921375277473,0.6605857910205736,0.6170558375634517,0.6750333185251,3039,3479,1463,1886,0.6447438209398536
18,2.8080314276965628,0.6654504915374481,0.5961421319796955,0.6911487758945386,2936,3630,1312,1989,0.6401395399542135
19,2.756054931833012,0.6673761021587109,0.6071065989847716,0.6894166474521559,2990,3595,1347,1935,0.6456488879291731
20,2.78499163685509,0.6756866322083713,0.6450761421319797,0.6863253402462735,3177,3490,1452,1748,0.6650617542390622
21,2.92631857116633,0.6623087057869667,0.5926903553299493,0.6876325088339222,2919,3616,1326,2006,0.6366412213740459
22,2.9736894187132568,0.6686936252153644,0.5977664974619289,0.6956521739130435,2944,3654,1288,1981,0.6430053510975209
23,3.146930515750598,0.6584574845444411,0.6014213197969543,0.677958342870222,2962,3535,1407,1963,0.6374004734237143
24,3.107278113037458,0.662004662004662,0.6111675126903553,0.6794582392776524,3010,3522,1420,1915,0.6435061464457509
25,3.1592341819592162,0.6619033140772271,0.6067005076142132,0.6811032596307272,2988,3543,1399,1937,0.6417525773195878
26,3.0838358830834074,0.6655518394648829,0.616243654822335,0.6827896512935883,3035,3532,1410,1890,0.6478121664887939
27,3.2330919687638295,0.6638289246984899,0.5908629441624366,0.6908831908831908,2910,3640,1302,2015,0.6369705592645288
28,3.255182789766466,0.6630181412790108,0.5953299492385786,0.6876172607879925,2932,3610,1332,1993,0.6381543149417782
29,3.187264354772602,0.6639302726259247,0.6136040609137056,0.6813979706877114,3022,3529,1413,1903,0.6457264957264958
