,Loss,Accuracy,Recall,Precision,TP,TN,FP,FN,F1_Score
0,0.4975117060999188,0.8427080166210601,0.8077157360406091,0.8679903993017674,3978,4337,605,947,0.8367690366007573
1,0.42337448345160544,0.8469646295733252,0.7930964467005076,0.8883329542870139,3906,4451,491,1019,0.8380175927912464
2,0.44414629327295513,0.8625722103982973,0.8617258883248731,0.8627769871925188,4244,4267,675,681,0.8622511174319383
3,0.46211655927628026,0.8616600790513834,0.8619289340101522,0.8610547667342799,4245,4257,685,680,0.8614916286149162
4,0.4809047648826039,0.8651059085841695,0.8611167512690355,0.8676350245499181,4241,4295,647,684,0.8643635993070417
5,0.5078993283760659,0.8661193878585183,0.8639593908629442,0.8673053403995108,4255,4291,651,670,0.8656291323364866
6,0.5181250402536586,0.8657139961487788,0.8391878172588833,0.8857693956279469,4133,4409,533,792,0.8618496507142113
7,0.5658475821866581,0.8686530860443904,0.8596954314720813,0.8749741682165737,4234,4337,605,691,0.8672675133142156
8,0.5719769394084068,0.8674369109151718,0.8598984771573605,0.8726560890171028,4235,4324,618,690,0.866230312947433
9,0.59000732094197,0.8694638694638694,0.8645685279187817,0.8727198196351711,4258,4321,621,667,0.8686250509995921
10,0.5924307218725133,0.8677409546974765,0.8759390862944162,0.8614217252396166,4314,4248,694,611,0.8686197523406827
11,0.5964722204959731,0.8674369109151718,0.8665989847715736,0.867656027647896,4268,4291,651,657,0.8671271840715157
12,0.607494946177234,0.8676396067700416,0.8672081218274111,0.8675604306317286,4271,4290,652,654,0.8673842404549147
13,0.6301281663252783,0.8686530860443904,0.8456852791878172,0.8859817060199957,4165,4406,536,760,0.865364637440266
14,0.6278573045274227,0.8669301712779973,0.8686294416243655,0.8652912621359223,4278,4276,666,647,0.8669571385145406
15,0.6333949638030892,0.8688557818992602,0.8601015228426396,0.8750258211113406,4236,4337,605,689,0.8674994880196601
16,0.6395673320324091,0.8682476943346509,0.8560406091370558,0.8770542958185978,4216,4351,591,709,0.8664200575421289
17,0.6487254362862785,0.8671328671328671,0.875736040609137,0.8605347166799681,4313,4243,699,612,0.8680688336520076
18,0.6531730961008738,0.8684503901895206,0.8643654822335025,0.8710865561694291,4257,4312,630,668,0.867713004484305
19,0.657116186061747,0.8693625215364346,0.8676142131979695,0.870264765784114,4273,4305,637,652,0.8689374682257244
20,0.6577553056180013,0.8694638694638694,0.868020304568528,0.8701404437207408,4275,4304,638,650,0.8690790811140475
21,0.6672349624601629,0.8690584777541299,0.8574619289340102,0.8774153334718471,4223,4352,590,702,0.8673238858081742
22,0.6806890316979693,0.8670315192054322,0.8716751269035533,0.8632616127086266,4293,4262,680,632,0.8674479692867247
23,0.6717787096211706,0.8700719570284787,0.8623350253807106,0.8754895897753041,4247,4338,604,678,0.8688625204582651
24,0.6795794750445913,0.8690584777541299,0.8665989847715736,0.8704874566591883,4268,4307,635,657,0.8685388685388685
25,0.6841666946368068,0.8669301712779973,0.8716751269035533,0.8630880579010857,4293,4261,681,632,0.8673603394282251
26,0.6881812906004245,0.868146346407216,0.8653807106598985,0.8697959183673469,4262,4304,638,663,0.8675826972010179
27,0.6954870527312963,0.8695652173913043,0.8523857868020305,0.882303488860866,4198,4382,560,727,0.8670866467004028
28,0.6985357055739523,0.8697679132461741,0.8521827411167513,0.8828355069415229,4197,4385,557,728,0.8672383510693255
29,0.6970667392243439,0.8680449984797811,0.8674111675126903,0.8681162365372892,4272,4293,649,653,0.8677635588056063
