,Centralized Loss,Centralized Accuracy
0,0.19501673797816038,0.942216694355011
1,0.06608405387761693,0.9801999926567078
2,0.04912412598583226,0.9851333498954773
3,0.037551250546146185,0.9886500239372253
4,0.029059712610114367,0.9907333254814148
5,0.022807712698326214,0.9931666851043701
6,0.018054066032144087,0.994183361530304
7,0.014513673590450587,0.9955666661262512
8,0.012062951260024662,0.9961833357810974
9,0.008384631259684344,0.9973833560943604
10,0.008348029645434994,0.9973666667938232
11,0.006639742960446408,0.9979833364486694
12,0.006347585918351494,0.99795001745224
13,0.004307771418014636,0.9987666606903076
14,0.004994870696816846,0.9984833598136902
15,0.0038617410542391858,0.9986833333969116
16,0.003945456748788516,0.9988499879837036
17,0.003449615348020173,0.9989833235740662
18,0.0024678055549116834,0.9993166923522949
19,0.0033530479134213846,0.9987833499908447
20,0.002713287696710783,0.9991499781608582
21,0.0032890239726418562,0.9990166425704956
22,0.004202334109437773,0.9985666871070862
23,0.0025710398112163604,0.9991166591644287
24,0.0020557562370475354,0.9994333386421204
25,0.000576013047235089,0.9998999834060669
26,0.004400492148093084,0.9986333250999451
27,0.0015297617580325095,0.9995999932289124
28,0.0023712626801467803,0.9993166923522949
29,0.002956124271611952,0.9991499781608582
