,Federated Train Loss,Federated Train Accuracy,Federated Test Loss,Federated Test Accuracy
0,0.3068510164260864,0.9122999906539917,0.31371785828073817,0.9085333347320557
1,0.1821199427574873,0.9469000101089478,0.19143841181347768,0.944516658782959
2,0.132529269721359,0.9610000252723694,0.14138107468535502,0.9591000080108643
3,0.10643733015283942,0.9690999984741211,0.11178886255497733,0.9684000015258789
4,0.09149277654550969,0.9714999794960022,0.09361759821002683,0.9737333059310913
5,0.07971337645277381,0.9750999808311462,0.08113630640332897,0.9776166677474976
6,0.07364755444675684,0.9767000079154968,0.07228710923654337,0.9793499708175659
7,0.06773977455981076,0.9779000282287598,0.06505135077058027,0.9815000295639038
8,0.06353911031959579,0.979200005531311,0.05954115032584717,0.9831666946411133
9,0.05800026431623846,0.9801999926567078,0.05401619252587358,0.9847000241279602
10,0.05599145900066942,0.9807999730110168,0.050298919920033464,0.9856333136558533
11,0.05304865407589823,0.9815999865531921,0.04665255051671217,0.9865999817848206
12,0.05166243116757833,0.9817000031471252,0.043515286277420816,0.9874666929244995
13,0.049646972030773756,0.9829999804496765,0.04062927532489412,0.9885166883468628
14,0.04831278282366693,0.9829000234603882,0.0383302096987764,0.9888833165168762
15,0.04793073631557636,0.9835000038146973,0.0363190697363733,0.9895333051681519
16,0.0481302083166549,0.9836000204086304,0.034955751587512594,0.9900166392326355
17,0.04521303621425759,0.9837999939918518,0.03220165033513525,0.9905833601951599
18,0.04520473368936218,0.9840999841690063,0.0308521517277152,0.9910833239555359
19,0.04455210093120113,0.9850999712944031,0.029173330470803192,0.9917166829109192
20,0.044945326476055196,0.9840999841690063,0.028112648225470913,0.9920166730880737
21,0.043492979887255936,0.9848999977111816,0.026895515429911514,0.9923333525657654
22,0.04200317073777551,0.9858999848365784,0.02523028106704199,0.9927499890327454
23,0.04427115439174231,0.9850000143051147,0.025352967302605976,0.9927499890327454
24,0.043225342096824895,0.9855999946594238,0.023230839992361144,0.9935166835784912
25,0.0421282951924426,0.986299991607666,0.022024523682085177,0.9940000176429749
26,0.04235164362214855,0.9857000112533569,0.021277234476878463,0.9941333532333374
27,0.041719991965789814,0.9860000014305115,0.020197685864561936,0.9944666624069214
28,0.04212765839956119,0.9860000014305115,0.01931330337721738,0.9947333335876465
29,0.04294004469990614,0.9860000014305115,0.01918149412004665,0.9946333169937134
