,accuracy,auc,false_negatives,false_positives,loss,pr,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_pr,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8665909171104431,0.9448422193527222,278.0,309.0,0.30025282475081355,0.9424662590026855,0.8614971041679382,0.8736363649368286,1891.0,1922.0,0.8151814937591553,0.7021353244781494,440.0,1128.0,0.4664080402059046,0.2675214111804962,0.23577235639095306,0.44162437319755554,6568.0,348.0
1,0.9304545521736145,0.9809273481369019,128.0,178.0,0.18985980900851163,0.9795577526092529,0.9208889007568359,0.9418181777000427,2022.0,2072.0,0.8543140292167664,0.7628108859062195,394.0,842.0,0.3851133104605194,0.3444526195526123,0.31877022981643677,0.5,6854.0,394.0
2,0.9495454430580139,0.988170862197876,102.0,120.0,0.156041772284291,0.9877532124519348,0.9458972215652466,0.9536363482475281,2080.0,2098.0,0.8488920331001282,0.7492119073867798,418.0,864.0,0.39414205321825196,0.3117862045764923,0.2998379170894623,0.4695431590080261,6832.0,370.0
3,0.9672726988792419,0.9947402477264404,62.0,82.0,0.1202778595956889,0.9944794178009033,0.9630630612373352,0.971818208694458,2118.0,2138.0,0.8833097815513611,0.7807578444480896,426.0,564.0,0.3330985668309837,0.3675381541252136,0.390928715467453,0.4593908488750458,7132.0,362.0
4,0.9736363887786865,0.9962375164031982,50.0,66.0,0.1040459917621179,0.9961189031600952,0.9702166318893433,0.9772727489471436,2134.0,2150.0,0.8851956725120544,0.7799016237258911,419.0,555.0,0.33008094610385547,0.39474233984947205,0.399350643157959,0.4682741165161133,7141.0,369.0
5,0.9745454788208008,0.9976487159729004,44.0,68.0,0.09119900794191795,0.9976794719696045,0.9694244861602783,0.9800000190734863,2132.0,2156.0,0.8928571343421936,0.807366669178009,417.0,492.0,0.31075591267425107,0.40296101570129395,0.42989569902420044,0.4708121716976166,7204.0,371.0
6,0.9838636517524719,0.9988912343978882,26.0,45.0,0.07736894058910283,0.9988609552383423,0.9797205924987793,0.9881818294525146,2155.0,2174.0,0.893210768699646,0.8070611953735352,428.0,478.0,0.31161332027376304,0.39991283416748047,0.4295942783355713,0.4568527936935425,7218.0,360.0
7,0.9865909218788147,0.9991036057472229,22.0,37.0,0.07117237097837709,0.9991095066070557,0.983295738697052,0.9900000095367432,2163.0,2178.0,0.8901461362838745,0.7967035174369812,409.0,523.0,0.32265960348208855,0.42576009035110474,0.4201773703098297,0.4809644818305969,7173.0,379.0
8,0.9888636469841003,0.9995914101600647,20.0,29.0,0.05894074048508297,0.9995918273925781,0.9868718981742859,0.9909090995788574,2171.0,2180.0,0.870815634727478,0.7842901945114136,398.0,698.0,0.3692166098744338,0.37967365980148315,0.3584558963775635,0.494923859834671,6998.0,390.0
9,0.9920454621315002,0.9995172619819641,14.0,21.0,0.05743513703346252,0.9995052218437195,0.9904848337173462,0.9936363697052002,2179.0,2186.0,0.8904997706413269,0.7894328236579895,410.0,519.0,0.3334953680529994,0.4115007817745209,0.4214046895503998,0.4796954393386841,7177.0,378.0
10,0.9959090948104858,0.999903678894043,9.0,9.0,0.04454315799203786,0.9999039173126221,0.9959090948104858,0.9959090948104858,2191.0,2191.0,0.9110089540481567,0.813438892364502,435.0,320.0,0.29759138936983953,0.4468895494937897,0.5245170593261719,0.44796955585479736,7376.0,353.0
11,0.994772732257843,0.9998044967651367,9.0,14.0,0.04678611126135696,0.999799370765686,0.9936507940292358,0.9959090948104858,2186.0,2191.0,0.8861386179924011,0.7987472414970398,421.0,545.0,0.33790622500220613,0.39300835132598877,0.4024122953414917,0.4657360315322876,7151.0,367.0
12,0.9965909123420715,0.9999669194221497,4.0,11.0,0.03736649400808594,0.9999668598175049,0.9950158596038818,0.9981818199157715,2189.0,2196.0,0.8935643434524536,0.8038902282714844,430.0,473.0,0.3283378557016206,0.40711790323257446,0.4308062493801117,0.4543147087097168,7223.0,358.0
13,0.996363639831543,0.999930739402771,4.0,12.0,0.038355343003164635,0.9999304413795471,0.9945651888847351,0.9981818199157715,2188.0,2196.0,0.8959217071533203,0.7972086071968079,440.0,443.0,0.3350018581517308,0.40079107880592346,0.4399494230747223,0.44162437319755554,7253.0,348.0
14,0.9961363673210144,0.9999115467071533,8.0,9.0,0.035906236815181646,0.9999116063117981,0.9959109425544739,0.996363639831543,2191.0,2192.0,0.8899103999137878,0.7908101081848145,423.0,511.0,0.34426713266525416,0.4013035297393799,0.4166666567325592,0.4631979763507843,7185.0,365.0
15,0.9970454573631287,0.9999766945838928,5.0,8.0,0.032952747209505605,0.9999768137931824,0.9963685870170593,0.9977272748947144,2192.0,2195.0,0.8810702562332153,0.802361011505127,407.0,602.0,0.3578558748626167,0.39841192960739136,0.3875890076160431,0.4835025370121002,7094.0,381.0
