,Aggregate Accuracy,Aggregate Avg. Precision,Aggregate F1_Score,Aggregate Precision,Aggregate Recall,Epoch,FN,FP,Individual Accuracy,Individual Avg. Precision,Individual F1-Score,Individual Precision,Individual Recall,Loss,Person,Session,TN,TP
0,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,11,4,0.84375,0.8210045721664292,0.736842105263158,0.84,0.65625,0.6714279055595398,43.0,0,60,21
1,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,27,0.71875,,,0.0,,0.6875541806221008,48.0,0,69,0
2,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,13,4,0.9517045454545454,0.32486076463447155,0.26086956521739124,0.42857142857142855,0.1875,0.6412333846092224,52.0,0,332,3
3,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,144,0.625,,,0.0,,0.6866722106933594,59.0,0,240,0
4,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,20,12,0.9166666666666666,0.8008488488873077,0.719298245614035,0.7735849056603774,0.6721311475409836,0.6554988026618958,64.0,0,311,41
5,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,31,8,0.8645833333333334,0.9771777016585599,0.9142857142857144,0.9629629629629629,0.8702928870292888,0.6724097728729248,80.0,0,41,208
6,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,1,240,0.46205357142857145,0.4526235050204199,0.4794816414686825,0.3162393162393162,0.9910714285714286,0.690039336681366,92.0,0,96,111
7,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,58,0.7410714285714286,,,0.0,,0.6744338870048523,96.0,0,166,0
8,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,6,21,0.8794642857142857,0.23369160350669715,0.12903225806451613,0.08695652173913043,0.25,0.654778778553009,107.0,0,195,2
9,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,0,1.0,,,,,0.646866500377655,109.0,0,224,0
10,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,2,54,0.8541666666666666,0.45966950341558577,0.30000000000000004,0.18181818181818182,0.8571428571428571,0.6809913516044617,115.0,0,316,12
11,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,5,27,0.9090909090909091,0.535743467335884,0.5897435897435898,0.46,0.8214285714285714,0.6565901041030884,120.0,0,297,23
12,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,3,0.98125,,,0.0,,0.6611003875732422,43.0,1,157,0
13,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,20,105,0.21875,0.14228207048009553,0.19354838709677416,0.125,0.42857142857142855,0.706316351890564,48.0,1,20,15
14,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,0,1.0,,,,,0.6366726160049438,52.0,1,160,0
15,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,93,33,0.6420454545454546,0.32307379110771617,0.32978723404255317,0.484375,0.25,0.6882176995277405,59.0,1,195,31
16,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,15,0,0.9479166666666666,0.07851047862522281,,,0.0,0.6530326008796692,64.0,1,273,0
17,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,72,13,0.6205357142857143,0.8374890246515463,0.5549738219895288,0.803030303030303,0.424,0.6732644438743591,80.0,1,86,53
18,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,1,23,0.875,0.9090511785497203,0.9333333333333333,0.8795811518324608,0.9940828402366864,0.6680886149406433,92.0,1,0,168
19,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,50,0.7767857142857143,,,0.0,,0.6780520677566528,96.0,1,174,0
20,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,0,1.0,,,,,0.6221336126327515,107.0,1,224,0
21,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,136,0,0.5277777777777778,0.8065067016536482,,,0.0,0.687537670135498,109.0,1,152,0
22,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,60,0.625,,,0.0,,0.6875534057617188,115.0,1,100,0
23,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,0,1.0,,,,,0.6513840556144714,120.0,1,288,0
24,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,27,0.83125,,,0.0,,0.6731487512588501,43.0,2,133,0
25,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,1,0.96875,,,0.0,,0.6709684133529663,48.0,2,31,0
26,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,0,2,0.9895833333333334,,,0.0,,0.6463029384613037,52.0,2,190,0
27,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,16,0,0.9444444444444444,0.0599404897279411,,,0.0,0.6169906258583069,64.0,2,272,0
28,0.7726876090750436,0.44935015316298244,0.3597542242703533,0.3247365501941209,0.40323691460055094,0,99,5,0.7045454545454546,0.8099334347395085,0.2972972972972973,0.8148148148148148,0.18181818181818182,0.6692888736724854,80.0,2,226,22
