,Aggregate Accuracy,Aggregate Avg. Precision,Aggregate F1_Score,Aggregate Precision,Aggregate Recall,Epoch,FN,FP,Individual Accuracy,Individual Avg. Precision,Individual F1-Score,Individual Precision,Individual Recall,Loss,Person,Session,TN,TP
0,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,31,0,0.6770833333333334,0.8808307457988691,,,0.0,0.5057651996612549,43.0,0,65,0
1,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,0,1.0,,,,,0.25843724608421326,48.0,0,96,0
2,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,103,0.7073863636363636,0.8343086192810458,0.23703703703703705,0.13445378151260504,1.0,0.6347832679748535,52.0,0,233,16
3,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,69,0.8203125,,,0.0,,0.5224235653877258,59.0,0,315,0
4,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,23,7,0.921875,0.8255356974464302,0.7169811320754719,0.8444444444444444,0.6229508196721312,0.43348002433776855,64.0,0,316,38
5,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,50,0,0.8263888888888888,0.992485927266418,0.880952380952381,1.0,0.7872340425531915,0.5291449427604675,80.0,0,53,185
6,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,5,132,0.6941964285714286,0.49169154049706176,0.6118980169971672,0.45,0.9557522123893806,0.6381937265396118,92.0,0,203,108
7,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,16,0.9285714285714286,,,0.0,,0.4259508550167084,96.0,0,208,0
8,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,8,0,0.9642857142857143,0.3067189773946206,,,0.0,0.23879192769527435,107.0,0,216,0
9,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,0,1.0,,,,,0.3082452416419983,109.0,0,224,0
10,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,2,11,0.9661458333333334,0.809970238095238,0.6486486486486486,0.5217391304347826,0.8571428571428571,0.46282336115837097,115.0,0,359,12
11,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,3,31,0.9034090909090909,0.5691200315502531,0.5853658536585366,0.43636363636363634,0.8888888888888888,0.4537980258464813,120.0,0,294,24
12,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,0,1.0,,,,,0.13224883377552032,43.0,1,160,0
13,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,32,9,0.74375,0.49065390737695025,0.1276595744680851,0.25,0.08571428571428572,0.5109987854957581,48.0,1,116,3
14,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,1,0.99375,,,0.0,,0.4444359838962555,52.0,1,159,0
15,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,81,8,0.7471590909090909,0.6744460035666151,0.48554913294797697,0.84,0.34146341463414637,0.5958816409111023,59.0,1,221,42
16,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,16,0,0.9444444444444444,0.20262013483081215,,,0.0,0.41499146819114685,64.0,1,272,0
17,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,60,13,0.6741071428571429,0.8576519233909987,0.6473429951690821,0.8375,0.5275590551181102,0.5873587727546692,80.0,1,84,67
18,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,1,23,0.875,0.9296095934873473,0.9333333333333333,0.8795811518324608,0.9940828402366864,0.5324389338493347,92.0,1,0,168
19,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,21,0.90625,,,0.0,,0.5326246023178101,96.0,1,203,0
20,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,0,1.0,,,,,0.13397502899169922,107.0,1,224,0
21,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,141,0,0.5104166666666666,0.8400679577166438,,,0.0,0.7042179107666016,109.0,1,147,0
22,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,25,0.84375,,,0.0,,0.5437757968902588,115.0,1,135,0
23,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,0,1.0,,,,,0.37964025139808655,120.0,1,288,0
24,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,0,1.0,,,,,0.15651991963386536,43.0,2,160,0
25,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,0,1.0,,,,,0.17309026420116425,48.0,2,32,0
26,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,0,0,1.0,,,,,0.4441969692707062,52.0,2,192,0
27,0.8198625654450262,0.3464624398559839,0.40368297526629354,0.4272067252579289,0.38261464750171115,0,16,0,0.9444444444444444,0.12792189631239873,,,0.0,0.3549673855304718,64.0,2,272,0
