,accuracy,auc,false_negatives,false_positives,loss,precision,recall,subject_43_accuracy,subject_43_auc,subject_43_false_negatives,subject_43_false_positives,subject_43_loss,subject_43_precision,subject_43_recall,subject_43_true_negatives,subject_43_true_positives,subject_52_accuracy,subject_52_auc,subject_52_false_negatives,subject_52_false_positives,subject_52_loss,subject_52_precision,subject_52_recall,subject_52_true_negatives,subject_52_true_positives,subject_96_accuracy,subject_96_auc,subject_96_false_negatives,subject_96_false_positives,subject_96_loss,subject_96_precision,subject_96_recall,subject_96_true_negatives,subject_96_true_positives,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.9347916841506958,0.982022225856781,158.0,155.0,0.17039045112828413,0.9353358149528503,0.934166669845581,0.9949495196342468,0.0,0.0,2.0,0.017576563461316808,0.0,0.0,394.0,0.0,0.7019230723381042,0.6321989893913269,55.0,503.0,1.628948224405957,0.11443661898374557,0.5416666865348816,1249.0,65.0,0.8850877285003662,0.6209924817085266,83.0,48.0,0.3701493217234026,0.09433962404727936,0.05681818351149559,1004.0,5.0,2245.0,2242.0,0.7972418069839478,0.6424391269683838,138.0,553.0,1.020634265712729,0.11235955357551575,0.3365384638309479,2647.0,70.0
1,0.9624999761581421,0.9938924312591553,84.0,96.0,0.10293465959529081,0.9601989984512329,0.9649999737739563,0.9898989796638489,0.0,0.0,4.0,0.0286972456261271,0.0,0.0,392.0,0.0,0.7254273295402527,0.6176488995552063,66.0,448.0,1.6270183706894898,0.10756972432136536,0.44999998807907104,1304.0,54.0,0.8333333134651184,0.6855880618095398,56.0,134.0,0.40620816485923633,0.1927710771560669,0.3636363744735718,918.0,32.0,2304.0,2316.0,0.7922534942626953,0.6759023070335388,122.0,586.0,1.0329283573817758,0.127976194024086,0.4134615361690521,2614.0,86.0
2,0.9735416769981384,0.9962272644042969,66.0,61.0,0.07819264765207966,0.9745302796363831,0.9725000262260437,0.9772727489471436,0.0,0.0,9.0,0.06947781193549886,0.0,0.0,387.0,0.0,0.7339743375778198,0.6388627290725708,57.0,441.0,1.6349314558200347,0.125,0.5249999761581421,1311.0,63.0,0.9017543792724609,0.6081867218017578,85.0,27.0,0.40987339208000584,0.10000000149011612,0.034090910106897354,1025.0,3.0,2339.0,2334.0,0.8183685541152954,0.6259427070617676,142.0,477.0,1.0432393513794795,0.12154696136713028,0.3173076808452606,2723.0,66.0
3,0.9825000166893005,0.9977312088012695,39.0,45.0,0.054837856932232774,0.9812967777252197,0.9837499856948853,0.9873737096786499,0.0,0.0,5.0,0.024899155918668692,0.0,0.0,391.0,0.0,0.7932692170143127,0.624362587928772,75.0,312.0,1.5056697940215087,0.1260504275560379,0.375,1440.0,45.0,0.9043859839439392,0.5494784116744995,87.0,22.0,0.5065956411654489,0.043478261679410934,0.011363636702299118,1030.0,1.0,2355.0,2361.0,0.8529929518699646,0.5999482274055481,162.0,339.0,0.999411725941958,0.11948052048683167,0.2211538404226303,2861.0,46.0
4,0.9885416626930237,0.9991242289543152,30.0,25.0,0.039173769541084764,0.9895615577697754,0.987500011920929,0.9116161465644836,0.0,0.0,35.0,0.2706908281102325,0.0,0.0,361.0,0.0,0.6372863054275513,0.6377710700035095,52.0,627.0,2.0026898119184704,0.09784172475337982,0.5666666626930237,1125.0,68.0,0.8114035129547119,0.5653138756752014,80.0,135.0,0.5278424756568775,0.0559440553188324,0.09090909361839294,917.0,8.0,2375.0,2370.0,0.7274060845375061,0.614875316619873,132.0,797.0,1.308089621190174,0.08705613017082214,0.36538460850715637,2403.0,76.0
5,0.9893749952316284,0.9991459250450134,25.0,26.0,0.034097895179875194,0.9891712069511414,0.9895833134651184,0.9949495196342468,0.0,0.0,2.0,0.01934072452878363,0.0,0.0,394.0,0.0,0.8311966061592102,0.6354642510414124,84.0,232.0,1.461318597324893,0.13432836532592773,0.30000001192092896,1520.0,36.0,0.909649133682251,0.6033097505569458,88.0,15.0,0.5228994612108198,0.0,0.0,1037.0,0.0,2374.0,2375.0,0.8764671087265015,0.6357971429824829,172.0,249.0,0.9798635414893359,0.12631578743457794,0.17307692766189575,2951.0,36.0
6,0.9902083277702332,0.9995452165603638,23.0,24.0,0.027633933591811606,0.9900041818618774,0.9904166460037231,0.9848484992980957,0.0,0.0,6.0,0.04374573846469117,0.0,0.0,390.0,0.0,0.814636766910553,0.6459736227989197,83.0,264.0,1.5959952254580636,0.1229235902428627,0.3083333373069763,1488.0,37.0,0.9105263352394104,0.4705215394496918,88.0,14.0,0.7155855835006948,0.0,0.0,1038.0,0.0,2376.0,2377.0,0.8664906024932861,0.5834126472473145,171.0,284.0,1.1211195405869976,0.11526479572057724,0.17788460850715637,2916.0,37.0
7,0.9929166436195374,0.9997235536575317,18.0,16.0,0.02317763873298342,0.993327796459198,0.9925000071525574,0.9949495196342468,0.0,0.0,2.0,0.011218370947917168,0.0,0.0,394.0,0.0,0.6907051205635071,0.6280774474143982,59.0,520.0,2.0797203860731206,0.10499139130115509,0.5083333253860474,1232.0,61.0,0.8087719082832336,0.592848002910614,68.0,150.0,0.6425901601189061,0.11764705926179886,0.22727273404598236,902.0,20.0,2384.0,2382.0,0.7655516266822815,0.6398648023605347,127.0,672.0,1.3586358057221337,0.10756972432136536,0.38942307233810425,2528.0,81.0
8,0.9945833086967468,0.9993581175804138,15.0,11.0,0.018499121937978393,0.9954090118408203,0.9937499761581421,1.0,0.0,0.0,0.0,0.0004843489596760494,0.0,0.0,396.0,0.0,0.8194444179534912,0.6056981682777405,87.0,251.0,1.5460872762223594,0.11619718372821808,0.2750000059604645,1501.0,33.0,0.9087719321250916,0.5998800992965698,87.0,17.0,0.5866324105806519,0.0555555559694767,0.011363636702299118,1035.0,1.0,2389.0,2385.0,0.8703051805496216,0.6153455376625061,174.0,268.0,1.0455502383061137,0.11258278042078018,0.16346153616905212,2932.0,34.0
9,0.9920833110809326,0.9989418387413025,18.0,20.0,0.026120679731441974,0.9916735887527466,0.9925000071525574,0.9823232293128967,0.0,0.0,7.0,0.03482645719339765,0.0,0.0,389.0,0.0,0.6618589758872986,0.6364964246749878,57.0,576.0,2.0326671997706094,0.09859155118465424,0.5249999761581421,1176.0,63.0,0.74210524559021,0.5966665744781494,57.0,237.0,0.7597179375196758,0.11567164212465286,0.35227271914482117,815.0,31.0,2380.0,2382.0,0.7259389758110046,0.6510568857192993,114.0,820.0,1.3747134088350574,0.10284464061260223,0.45192307233810425,2380.0,94.0
10,0.9964583516120911,0.999678373336792,9.0,8.0,0.01346872677502688,0.9966652989387512,0.9962499737739563,0.9772727489471436,0.0,0.0,9.0,0.09418278615310262,0.0,0.0,387.0,0.0,0.7126068472862244,0.6418569684028625,58.0,480.0,1.9868948897744856,0.11439114063978195,0.5166666507720947,1272.0,62.0,0.9157894849777222,0.5172344446182251,88.0,8.0,0.6749492874270991,0.0,0.0,1044.0,0.0,2392.0,2391.0,0.811326265335083,0.5813693404197693,146.0,497.0,1.328096328207025,0.11091234534978867,0.29807692766189575,2703.0,62.0
