,FN,FP,TN,TP,accuracy,loss,val_FN,val_FP,val_TN,val_TP,val_accuracy,val_loss,Session,Person
0,0.0,0.03921568766236305,31.72549057006836,0.0,0.9987654089927672,0.0034381262774623787,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,3.4280661474103518,1,59
1,0.0,0.0,31.764705657958984,0.0,1.0,5.08732966729305e-05,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,4.642733423606209,1,59
2,0.0,0.0,31.764705657958984,0.0,1.0,5.42628534741018e-06,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,5.075882945371711,1,59
3,0.0,0.0,31.764705657958984,0.0,1.0,1.2226045198394363e-06,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,5.382681753324425,1,59
4,0.0,0.0,31.764705657958984,0.0,1.0,6.299711279755678e-07,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,5.549919895503832,1,59
5,0.0,0.0,31.764705657958984,0.0,1.0,1.9890424290560625e-07,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,5.393384197483892,1,59
6,0.0,0.0,31.764705657958984,0.0,1.0,8.289493841310239e-08,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,5.471947353819141,1,59
7,0.0,0.0,31.764705657958984,0.0,1.0,4.985467483122731e-08,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,5.4939142050950425,1,59
8,0.0,0.0,31.764705657958984,0.0,1.0,5.1013596327719337e-08,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,5.523662872936415,1,59
9,0.0,0.0,31.764705657958984,0.0,1.0,1.2404989106162697e-07,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,5.55537423880204,1,59
10,0.0,0.0,31.764705657958984,0.0,1.0,4.606494051720937e-08,11.56521701812744,0.0,20.43478202819824,0.0,0.6385869383811951,5.536610722541809,1,59
0,2.8125,0.3333333432674408,26.58333396911621,2.2708332538604736,0.90234375,0.6152480218249062,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162560372865,1,64
1,1.8541666269302368,0.3958333432674408,26.52083396911621,3.2291667461395264,0.9303385615348816,0.3699737202065687,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162556489827,1,64
2,1.7708333730697632,0.3541666567325592,26.5625,3.3125,0.9332682490348816,0.3699759226292372,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162564255904,1,64
3,1.5833333730697632,0.3541666567325592,26.5625,3.5,0.9388020634651184,0.3323853294520329,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162502127284,1,64
4,1.375,0.3541666567325592,26.5625,3.7083332538604736,0.9466145634651184,0.3155702733589957,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162560372865,1,64
5,1.3541666269302368,0.2916666567325592,26.625,3.7291667461395264,0.9485676884651184,0.30332768910254043,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162564255904,1,64
6,1.1666666269302368,0.3333333432674408,26.58333396911621,3.9166667461395264,0.9521484375,0.293025568438073,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162529308555,1,64
7,1.0416666269302368,0.2708333432674408,26.64583396911621,4.041666507720946,0.9586588740348816,0.2821258269250393,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.7953488427041409,1,64
8,1.0625,0.25,26.66666603088379,4.020833492279054,0.9593098759651184,0.2731651663198136,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162529308555,1,64
9,1.0625,0.2708333432674408,26.64583396911621,4.020833492279054,0.9583333134651184,0.276373214495834,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162564255904,1,64
10,0.8333333134651184,0.2083333283662796,26.70833396911621,4.25,0.9674479365348816,0.2607458433097539,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162533191594,1,64
11,0.9166666865348816,0.1458333283662796,26.77083396911621,4.166666507720946,0.9664713740348816,0.25825689886308584,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162568138943,1,64
12,0.9791666865348816,0.1458333283662796,26.77083396911621,4.104166507720946,0.9641926884651184,0.28760065415796515,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015162564255904,1,64
13,0.7291666865348816,0.1875,26.72916603088379,4.354166507720946,0.9694010615348816,0.10725469237271076,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015163045752709,1,64
14,0.4583333432674408,0.1458333283662796,26.77083396911621,4.625,0.98046875,0.060644893266726285,1.6410256624221802,0.0,29.846153259277344,0.0,0.9478827118873596,0.8015238332534846,1,64
15,0.3541666567325592,0.1875,26.72916603088379,4.729166507720947,0.982421875,0.05422771318505208,1.5897436141967771,0.3076923191547394,29.538461685180664,0.05128205195069313,0.938517928123474,0.7373584621746687,1,64
16,0.3541666567325592,0.2291666716337204,26.6875,4.729166507720947,0.9817708134651184,0.0559142993054896,1.5897436141967771,0.8205128312110901,29.0256404876709,0.05128205195069313,0.923045575618744,0.7121101213491701,1,64
17,0.2291666716337204,0.125,26.79166603088379,4.854166507720947,0.9895833134651184,0.031134635665997237,1.5897436141967771,0.4871794879436493,29.35897445678711,0.05128205195069313,0.9348534345626832,0.7114611931284738,1,64
