,Epoch,Loss,Session,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score,Shard
0,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,115.0,339,10,36,6,0.40810752372726117,0.7686960588706147,0.8823529411764706,0.375,0.14285714285714285,0.20689655172413796,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
1,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,107.0,191,2,22,1,0.10515784807412369,0.7686960588706147,0.8888888888888888,0.3333333333333333,0.043478260869565216,0.07692307692307691,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
2,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,59.0,183,159,0,0,,0.7686960588706147,0.5350877192982456,0.0,,,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
3,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,96.0,191,1,0,0,,0.7686960588706147,0.9947916666666666,0.0,,,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
4,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,43.0,57,0,98,0,0.6293187365941428,0.7686960588706147,0.36774193548387096,,0.0,,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
5,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,64.0,154,120,22,144,0.8403492345296961,0.7686960588706147,0.6772727272727272,0.5454545454545454,0.8674698795180723,0.669767441860465,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
6,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,120.0,288,8,61,19,0.6000431259778767,0.7686960588706147,0.8164893617021277,0.7037037037037037,0.2375,0.35514018691588783,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
7,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,92.0,42,264,1,322,0.49985171238959825,0.7686960588706147,0.5786963434022258,0.5494880546075085,0.9969040247678018,0.7084708470847085,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
8,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,52.0,300,0,33,12,0.8539637102414354,0.7686960588706147,0.9043478260869565,1.0,0.26666666666666666,0.4210526315789474,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
9,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,48.0,97,0,0,0,,0.7686960588706147,1.0,,,,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
10,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,80.0,7,38,8,738,0.9915594635002813,0.7686960588706147,0.9418457648546145,0.9510309278350515,0.9892761394101877,0.9697766097240472,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
11,0,"tf.Tensor(0.5389669, shape=(), dtype=float32)",0,109.0,199,0,0,0,,0.7686960588706147,1.0,,,,0.7884016295231249,0.6735357917570499,0.8154957321076822,0.7377487377487377,0.0
12,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,107.0,193,0,0,0,,0.7503976711557271,1.0,,,,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
13,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,64.0,113,145,6,37,0.31903307405120285,0.7503976711557271,0.4983388704318937,0.2032967032967033,0.8604651162790697,0.32888888888888895,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
14,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,80.0,1,90,10,346,0.8345535562107758,0.7503976711557271,0.7762863534675615,0.7935779816513762,0.9719101123595506,0.8737373737373737,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
15,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,48.0,106,10,72,31,0.7425624809846944,0.7503976711557271,0.6255707762557078,0.7560975609756098,0.30097087378640774,0.43055555555555547,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
16,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,120.0,233,5,0,0,,0.7503976711557271,0.9789915966386554,0.0,,,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
17,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,43.0,139,0,0,0,,0.7503976711557271,1.0,,,,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
18,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,109.0,134,0,407,7,0.9045519408840043,0.7503976711557271,0.2572992700729927,1.0,0.016908212560386472,0.03325415676959619,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
19,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,96.0,187,10,0,0,,0.7503976711557271,0.949238578680203,0.0,,,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
20,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,59.0,108,77,141,226,0.8377474776690048,0.7503976711557271,0.605072463768116,0.7458745874587459,0.6158038147138964,0.6746268656716418,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
21,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,115.0,127,13,0,0,,0.7503976711557271,0.9071428571428571,0.0,,,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
22,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,92.0,0,14,253,236,0.9272232617424139,0.7503976711557271,0.4691848906560636,0.944,0.48261758691206547,0.638700947225981,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
23,0,"tf.Tensor(0.62025326, shape=(), dtype=float32)",1,52.0,140,0,0,0,,0.7503976711557271,1.0,,,,0.6535803151783246,0.7080994386527666,0.4983069977426637,0.5849619079165286,0.0
24,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,96.0,264,4,0,0,,0.6525222106464506,0.9850746268656716,0.0,,,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
25,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,115.0,177,35,57,103,0.822181355781689,0.6525222106464506,0.7526881720430108,0.7463768115942029,0.64375,0.6912751677852349,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
26,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,92.0,75,121,0,0,,0.6525222106464506,0.3826530612244898,0.0,,,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
27,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,120.0,190,0,0,0,,0.6525222106464506,1.0,,,,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
28,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,107.0,66,0,490,115,0.9898586700779819,0.6525222106464506,0.2697466467958271,1.0,0.19008264462809918,0.3194444444444444,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
29,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,64.0,176,59,3,37,0.3361172930041865,0.6525222106464506,0.7745454545454545,0.3854166666666667,0.925,0.5441176470588236,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
30,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,52.0,190,0,0,0,,0.6525222106464506,1.0,,,,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
31,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,109.0,191,0,0,0,,0.6525222106464506,1.0,,,,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
32,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,80.0,85,124,85,240,0.8206453544012542,0.6525222106464506,0.6086142322097379,0.6593406593406593,0.7384615384615385,0.6966618287373005,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
33,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,43.0,135,0,0,0,,0.6525222106464506,1.0,,,,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
34,0,"tf.Tensor(0.61334836, shape=(), dtype=float32)",2,48.0,31,0,0,0,,0.6525222106464506,1.0,,,,0.6796593514575827,0.5906921241050119,0.43805309734513276,0.5030487804878049,0.0
