,Centralized Accuracy,Centralized Loss
0,0.9349166750907898,0.2197582154052953
1,0.9761499762535095,0.0789827951265499
2,0.9838833212852478,0.05368802428186561
3,0.9876000285148621,0.04035139006988611
4,0.9904833436012268,0.029342003936871575
5,0.9929333329200745,0.021140469602010367
6,0.9948166608810425,0.015393012183223618
7,0.9966833591461182,0.010561931065365206
8,0.996999979019165,0.009288588734498383
9,0.9976999759674072,0.007503304537041549
10,0.9981499910354614,0.005827240163376337
11,0.9980833530426025,0.006172392818175891
12,0.9987000226974487,0.004008943548418029
13,0.9986500144004822,0.004347592954114164
14,0.9984333515167236,0.004802443802334164
15,0.9986166954040527,0.003868712242745763
16,0.9990500211715698,0.003480710050261526
17,0.9987833499908447,0.0036299170083273565
18,0.9992833137512207,0.0024121955276479637
19,0.9991166591644287,0.003034581442981592
20,0.9987999796867371,0.004093696865948247
21,0.9993000030517578,0.0023720219823031583
22,0.9987000226974487,0.0037866283851845464
23,0.9994666576385498,0.0022519627826403546
24,0.9990833401679993,0.002900051985929834
25,0.9996166825294495,0.001505601677414658
26,0.9987999796867371,0.0038825835112038477
27,0.999750018119812,0.0013250293226757398
28,0.9991000294685364,0.0028695777694552815
29,0.9993500113487244,0.002091603809910278
