,accuracy,auc,false_negatives,false_positives,loss,precision,recall,subject_107_accuracy,subject_107_auc,subject_107_false_negatives,subject_107_false_positives,subject_107_loss,subject_107_precision,subject_107_recall,subject_107_true_negatives,subject_107_true_positives,subject_115_accuracy,subject_115_auc,subject_115_false_negatives,subject_115_false_positives,subject_115_loss,subject_115_precision,subject_115_recall,subject_115_true_negatives,subject_115_true_positives,subject_120_accuracy,subject_120_auc,subject_120_false_negatives,subject_120_false_positives,subject_120_loss,subject_120_precision,subject_120_recall,subject_120_true_negatives,subject_120_true_positives,subject_43_accuracy,subject_43_auc,subject_43_false_negatives,subject_43_false_positives,subject_43_loss,subject_43_precision,subject_43_recall,subject_43_true_negatives,subject_43_true_positives,subject_52_accuracy,subject_52_auc,subject_52_false_negatives,subject_52_false_positives,subject_52_loss,subject_52_precision,subject_52_recall,subject_52_true_negatives,subject_52_true_positives,subject_64_accuracy,subject_64_auc,subject_64_false_negatives,subject_64_false_positives,subject_64_loss,subject_64_precision,subject_64_recall,subject_64_true_negatives,subject_64_true_positives,subject_80_accuracy,subject_80_auc,subject_80_false_negatives,subject_80_false_positives,subject_80_loss,subject_80_precision,subject_80_recall,subject_80_true_negatives,subject_80_true_positives,subject_92_accuracy,subject_92_auc,subject_92_false_negatives,subject_92_false_positives,subject_92_loss,subject_92_precision,subject_92_recall,subject_92_true_negatives,subject_92_true_positives,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.5193750262260437,0.6396511197090149,1485.0,53.0,0.6873974442481995,0.6845238208770752,0.07187499850988388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547.0,115.0,0.770672082901001,0.6005534529685974,2396.0,211.0,0.6620713637631851,0.46035805344581604,0.06987577676773071,8581.0,180.0
1,0.5293750166893005,0.6783126592636108,1441.0,65.0,0.6807254707813263,0.7098214030265808,0.09937500208616257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535.0,159.0,0.7798205614089966,0.6308014988899231,2285.0,218.0,0.6382121958839986,0.5717092156410217,0.11296583712100983,8574.0,291.0
2,0.5521875023841858,0.7111434936523438,1323.0,110.0,0.6676316398382187,0.7157622575759888,0.1731249988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.0,277.0,0.7777093648910522,0.6599065065383911,2002.0,525.0,0.6163429390117369,0.522292971611023,0.22282609343528748,8267.0,574.0
3,0.5871875286102295,0.7359554767608643,1185.0,136.0,0.650078644156456,0.7531760334968567,0.2593750059604645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464.0,415.0,0.7786769866943359,0.6846405863761902,1794.0,722.0,0.5870347900721156,0.519946813583374,0.3035714328289032,8070.0,782.0
4,0.6396874785423279,0.7581234574317932,967.0,186.0,0.6235315322875976,0.7728937864303589,0.3956249952316284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.0,633.0,0.768121063709259,0.7056731581687927,1536.0,1100.0,0.5644439025968837,0.4859813153743744,0.4037266969680786,7692.0,1040.0
5,0.6809375286102295,0.7812478542327881,840.0,181.0,0.5994313994050026,0.8076514601707458,0.4749999940395355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.0,760.0,0.7788529396057129,0.7170486450195312,1457.0,1057.0,0.5335996212840164,0.5142463445663452,0.4343944191932678,7735.0,1119.0
6,0.7103124856948853,0.8032153844833374,737.0,190.0,0.5720281773805618,0.8195631504058838,0.5393750071525574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.0,863.0,0.7788529396057129,0.7198172211647034,1391.0,1123.0,0.5179570046300036,0.5134315490722656,0.46001553535461426,7669.0,1185.0
7,0.7212499976158142,0.8187037706375122,691.0,201.0,0.5511878100037575,0.8189189434051514,0.5681250095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.0,909.0,0.7744545936584473,0.713172197341919,1394.0,1170.0,0.514893761535164,0.5025510191917419,0.4588509202003479,7622.0,1182.0
8,0.7359374761581421,0.8334962129592896,638.0,207.0,0.5273791992664337,0.8229255676269531,0.6012499928474426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393.0,962.0,0.7629310488700867,0.708545982837677,1338.0,1357.0,0.5252142192862723,0.47707128524780273,0.4805900752544403,7435.0,1238.0
9,0.7446874976158142,0.843866229057312,614.0,203.0,0.511674442589283,0.8292682766914368,0.6162499785423279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397.0,986.0,0.7533426880836487,0.7055258750915527,1297.0,1507.0,0.5386264884685815,0.45908111333847046,0.4965062141418457,7285.0,1279.0
10,0.7418749928474426,0.8506218791007996,629.0,197.0,0.507713366150856,0.8313356041908264,0.6068750023841858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403.0,971.0,0.7573012113571167,0.7067838907241821,1295.0,1464.0,0.541907625905986,0.46666666865348816,0.49728259444236755,7328.0,1281.0
11,0.7475000023841858,0.857370913028717,618.0,190.0,0.4976578140258789,0.8378839492797852,0.6137499809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.0,982.0,0.7551020383834839,0.7083449363708496,1267.0,1517.0,0.551531045150371,0.46319887042045593,0.508152186870575,7275.0,1309.0
12,0.7487499713897705,0.8602861166000366,616.0,188.0,0.49760777443647386,0.8395904302597046,0.6150000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412.0,984.0,0.7579169869422913,0.7084569931030273,1269.0,1483.0,0.5555869545171498,0.46845877170562744,0.5073757767677307,7309.0,1307.0
