,Centralized Accuracy,Centralized Loss
0,0.97258460521698,0.07870621192702507
1,0.996209442615509,0.010219377976320408
2,0.9974435567855835,0.00860313055350078
3,0.9989421963691711,0.003664524214759624
4,0.9980606436729431,0.005574066712147798
5,0.9998236894607544,0.0016050510084785572
6,0.9998236894607544,0.0010935974427006205
7,0.9993829131126404,0.0017973739818886861
8,0.9996473789215088,0.0012202456951483677
9,0.999559223651886,0.0014612322778592628
10,1.0,0.0003237154939196019
11,1.0,0.00010562420854162111
12,1.0,7.908086810353506e-05
13,1.0,6.724000290156301e-05
14,1.0,5.292194705733916e-05
15,1.0,5.01825105416642e-05
16,1.0,3.65674724449691e-05
17,1.0,2.847161960567391e-05
18,1.0,2.4233935266997813e-05
19,1.0,1.8990152015395134e-05
20,1.0,1.844314524167226e-05
21,1.0,1.380171571944102e-05
22,1.0,1.1206393359590796e-05
23,1.0,9.395863051456855e-06
24,1.0,8.14117316007833e-06
25,1.0,7.951106956981126e-06
26,0.9982369542121887,0.007764403254803343
27,0.9997355341911316,0.0007737137430551578
28,1.0,9.316413823203779e-05
29,1.0,6.460759002778852e-05
