,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.6806250214576721,0.7423525452613831,911.0,622.0,0.6006359833478928,0.7053529024124146,0.6204166412353516,1778.0,1489.0,0.8332157731056213,0.6139516234397888,760.0,186.0,0.6506223483549691,0.24390244483947754,0.0731707289814949,4666.0,60.0
1,0.8347916603088379,0.9182394742965698,423.0,370.0,0.42525506496429444,0.8423519134521484,0.8237500190734863,2030.0,1977.0,0.3150564134120941,0.6934660077095032,72.0,3813.0,0.7778793504443257,0.16399912536144257,0.9121951460838318,1039.0,748.0
2,0.8831250071525574,0.9538951516151428,276.0,285.0,0.3504535672068596,0.8816936612129211,0.8849999904632568,2115.0,2124.0,0.5474259257316589,0.8302319645881653,54.0,2513.0,0.7191183139978579,0.23360781371593475,0.9341463446617126,2339.0,766.0
3,0.9047916531562805,0.9695136547088623,223.0,234.0,0.3020616556207339,0.9029448628425598,0.9070833325386047,2166.0,2177.0,0.6854724884033203,0.8827767968177795,52.0,1732.0,0.5977925527919667,0.30720001459121704,0.9365853667259216,3120.0,768.0
4,0.9254166483879089,0.9777209758758545,182.0,176.0,0.2691878682374954,0.9264828562736511,0.9241666793823242,2224.0,2218.0,0.7914316058158875,0.8816378712654114,102.0,1081.0,0.4587220840460827,0.3991106152534485,0.8756097555160522,3771.0,718.0
5,0.934166669845581,0.9834937453269958,155.0,161.0,0.24009370764096577,0.9330839514732361,0.9354166388511658,2239.0,2245.0,0.7958391904830933,0.879037082195282,108.0,1050.0,0.4505047251710771,0.40408626198768616,0.8682926893234253,3802.0,712.0
6,0.9445833563804626,0.9883677363395691,123.0,143.0,0.21545380646983783,0.9409090876579285,0.9487500190734863,2257.0,2277.0,0.7739774584770203,0.8875383734703064,82.0,1200.0,0.48584668100804973,0.38080495595932007,0.8999999761581421,3652.0,738.0
7,0.95291668176651,0.9912682175636292,107.0,119.0,0.19597975785533586,0.9506633281707764,0.9554166793823242,2281.0,2293.0,0.7938998341560364,0.8783224821090698,108.0,1061.0,0.45962769722064223,0.40157923102378845,0.8682926893234253,3791.0,712.0
8,0.9624999761581421,0.992872953414917,74.0,106.0,0.1834327532351017,0.9564144611358643,0.9691666960716248,2294.0,2326.0,0.8168194890022278,0.8878481388092041,114.0,925.0,0.41530732854633307,0.4328632652759552,0.8609756231307983,3927.0,706.0
9,0.9683333039283752,0.9953057765960693,60.0,92.0,0.16613276759783427,0.9621710777282715,0.9750000238418579,2308.0,2340.0,0.8178772926330566,0.8800089955329895,124.0,909.0,0.433715241584186,0.4336448609828949,0.8487805128097534,3943.0,696.0
10,0.9727083444595337,0.996291995048523,62.0,69.0,0.15221227020025252,0.9713336229324341,0.9741666913032532,2331.0,2338.0,0.8102961778640747,0.8890576362609863,108.0,968.0,0.4374053043606251,0.4238095283508301,0.8682926893234253,3884.0,712.0
11,0.9712499976158142,0.9964028000831604,67.0,71.0,0.14392608553171157,0.970465898513794,0.972083330154419,2329.0,2333.0,0.7886106967926025,0.8852976560592651,90.0,1109.0,0.4840409556254009,0.39695486426353455,0.8902438879013062,3743.0,730.0
12,0.9760416746139526,0.9973863363265991,53.0,62.0,0.1337939081589381,0.9742631912231445,0.9779166579246521,2338.0,2347.0,0.8166431784629822,0.8905143737792969,100.0,940.0,0.43502904329716907,0.4337349534034729,0.8780487775802612,3912.0,720.0
13,0.9808333516120911,0.9980988502502441,36.0,56.0,0.12237925181786219,0.9768595099449158,0.9850000143051147,2344.0,2364.0,0.7933709621429443,0.8886683583259583,95.0,1077.0,0.46486355549273606,0.40233075618743896,0.8841463327407837,3775.0,725.0
